Obszar,Wartość
System operacyjny,"Microsoft Windows 11 Education, wersja 10.0.26200"
Procesor,"AMD Ryzen 9 3900X, 12 rdzeni, 24 wątki"
Pamięć operacyjna,48 GB RAM
Karta graficzna,NVIDIA GeForce RTX 5070 Ti
Platforma (Python),Windows-10-10.0.26200-SP0
Architektura (Python),AMD64
