model_name,class_name,accuracy,precision,recall,f1,samples
mobilenet_v2_advanced,English springer,0.9974683544303797,1.0,0.9974683544303797,0.9987325728770595,395
mobilenet_v2_advanced,tench,0.9948320413436692,1.0,0.9948320413436692,0.9974093264248705,387
mobilenet_v2_advanced,golf ball,0.9924812030075187,1.0,0.9924812030075187,0.9962264150943396,399
mobilenet_v2_advanced,church,0.9877750611246944,1.0,0.9877750611246944,0.9938499384993851,409
mobilenet_v2_advanced,garbage truck,0.987146529562982,1.0,0.987146529562982,0.9935316946959897,389
mobilenet_v2_advanced,parachute,0.982051282051282,1.0,0.982051282051282,0.9909443725743854,390
mobilenet_v2_advanced,French horn,0.9796954314720813,1.0,0.9796954314720813,0.9897435897435898,394
mobilenet_v2_advanced,cassette player,0.969187675070028,1.0,0.969187675070028,0.984352773826458,357
mobilenet_v2_advanced,chain saw,0.966321243523316,1.0,0.966321243523316,0.9828722002635046,386
mobilenet_v2_advanced,gas pump,0.9618138424821002,1.0,0.9618138424821002,0.9805352798053527,419
