model_name,class_name,accuracy,precision,recall,f1,samples
densenet121_advanced,tench,0.9612403100775194,1.0,0.9612403100775194,0.9802371541501977,387
densenet121_advanced,parachute,0.958974358974359,1.0,0.958974358974359,0.9790575916230366,390
densenet121_advanced,golf ball,0.9373433583959899,1.0,0.9373433583959899,0.9676584734799482,399
densenet121_advanced,French horn,0.9314720812182741,1.0,0.9314720812182741,0.964520367936925,394
densenet121_advanced,cassette player,0.9299719887955182,1.0,0.9299719887955182,0.9637155297532656,357
densenet121_advanced,garbage truck,0.9177377892030848,1.0,0.9177377892030848,0.9571045576407506,389
densenet121_advanced,English springer,0.9139240506329114,1.0,0.9139240506329114,0.955026455026455,395
densenet121_advanced,church,0.902200488997555,1.0,0.902200488997555,0.9485861182519281,409
densenet121_advanced,gas pump,0.8305489260143198,1.0,0.8305489260143198,0.9074315514993482,419
densenet121_advanced,chain saw,0.8186528497409327,1.0,0.8186528497409327,0.9002849002849003,386
