model_name,class_name,accuracy,precision,recall,f1,samples
inception_v3_advanced,English springer,0.9696202531645569,1.0,0.9696202531645569,0.9845758354755785,395
inception_v3_advanced,tench,0.958656330749354,1.0,0.958656330749354,0.9788918205804749,387
inception_v3_advanced,cassette player,0.9551820728291317,1.0,0.9551820728291317,0.9770773638968481,357
inception_v3_advanced,parachute,0.9538461538461539,1.0,0.9538461538461539,0.9763779527559054,390
inception_v3_advanced,golf ball,0.949874686716792,1.0,0.949874686716792,0.974293059125964,399
inception_v3_advanced,garbage truck,0.9408740359897172,1.0,0.9408740359897172,0.9695364238410595,389
inception_v3_advanced,church,0.9364303178484108,1.0,0.9364303178484108,0.9671717171717172,409
inception_v3_advanced,French horn,0.9086294416243654,1.0,0.9086294416243654,0.9521276595744681,394
inception_v3_advanced,gas pump,0.8687350835322196,1.0,0.8687350835322196,0.929757343550447,419
inception_v3_advanced,chain saw,0.8471502590673575,1.0,0.8471502590673575,0.9172510518934082,386
