model_name,class_name,accuracy,precision,recall,f1,samples
swin_t_advanced,English springer,0.9974683544303797,1.0,0.9974683544303797,0.9987325728770595,395
swin_t_advanced,tench,0.9974160206718347,1.0,0.9974160206718347,0.9987063389391979,387
swin_t_advanced,golf ball,0.9949874686716792,1.0,0.9949874686716792,0.9974874371859296,399
swin_t_advanced,gas pump,0.9928400954653938,1.0,0.9928400954653938,0.9964071856287425,419
swin_t_advanced,garbage truck,0.9922879177377892,1.0,0.9922879177377892,0.9961290322580645,389
swin_t_advanced,church,0.9902200488997555,1.0,0.9902200488997555,0.995085995085995,409
swin_t_advanced,French horn,0.9898477157360406,1.0,0.9898477157360406,0.9948979591836734,394
swin_t_advanced,parachute,0.9871794871794872,1.0,0.9871794871794872,0.9935483870967742,390
swin_t_advanced,cassette player,0.9775910364145658,1.0,0.9775910364145658,0.9886685552407931,357
swin_t_advanced,chain saw,0.9740932642487047,1.0,0.9740932642487047,0.9868766404199476,386
