model_name,attack_name,acc,prec,rec,f1,l0_pixels,l1,l2,linf,power_mse,clean_accuracy,accuracy_drop,relative_accuracy_drop,asr_unconditional,asr_conditional,time,n_samples
vgg16,APGD,35.919234856535596,36.42695889395608,35.91218736103135,35.50082101748685,32068.381509032944,1904.6381451954371,5.567620888526584,0.020103787356051325,0.00032165611408849806,94.1,93.74080765143464,0.99618286558379,0.640807651434644,,92.87045216560364,941
vgg16,APGDT,0.0,0.0,0.0,0.0,50153.882040382574,2813.902335966558,8.218623332085443,0.03137257695198059,0.00045062398334359404,94.1,94.1,1.0,1.0,,104.57854723930359,941
vgg16,BIM,35.60042507970245,36.58767893114045,35.37606634157919,35.78122951363725,31689.313496280552,1781.524418732565,5.416198862726453,0.020203806198618744,0.00030307443387530284,94.1,93.74399574920297,0.9962167454750581,0.6439957492029755,,74.15795683860779,941
vgg16,CW,0.0,0.0,0.0,0.0,49174.19022316684,580.6312849671124,1.8174114606078955,0.016015561936892308,2.623027775390245e-05,94.1,94.1,1.0,1.0,,189.429949760437,941
vgg16,DeepFool,22.954303931987248,24.654532907060513,23.04110314109235,23.325861263121343,50052.91498405951,163.50013847938885,0.700751456754197,0.03161961865768739,4.496807330496611e-06,94.1,93.87045696068012,0.9975606478286941,0.7704569606801275,,450.9616723060608,941
vgg16,DIFGSM,30.074388947927737,31.64470387700356,29.872446496345294,30.366908049744612,34613.23698193411,1920.7167710659987,5.841530442364538,0.021970805845655875,0.00032383904078120765,94.1,93.79925611052072,0.9968039969237059,0.6992561105207227,,73.92906641960144,941
vgg16,EADEN,0.21253985122210414,0.18774069319640566,0.18187830687830686,0.18102073365231258,35592.79702444208,41.01474412268584,0.948116338215511,0.15271750374575413,7.20110515559569e-06,94.1,94.09787460148777,0.9999774134058212,0.997874601487779,,2283.102305173874,941
vgg16,EADL1,0.9564293304994688,1.0738143804181541,0.9465201532021603,0.9724871126822178,35426.26992561105,29.035185859430737,0.9983220899457312,0.17147269568680196,7.787369291747102e-06,94.1,94.090435706695,0.9998983603261956,0.9904357066950054,,2293.752490758896,941
vgg16,EOTPGD,36.87566418703507,38.343036052187635,36.88956444263581,37.051598405541675,50058.96280552603,2710.6265173819825,7.981716686556874,0.03137249079524014,0.0004277004657975595,94.1,93.73124335812965,0.9960812259099857,0.6312433581296493,,132.95906257629395,941
vgg16,FAB,0.10626992561105207,0.2222222222222222,0.11627906976744186,0.15267175572519087,50046.112646121146,305.2339507226103,0.8725880915654118,0.002876922963276173,6.631968221156223e-06,94.1,94.09893730074388,0.9999887067029106,0.9989373007438895,,604.9150285720825,941
vgg16,FFGSM,40.913921360255046,40.289100861454855,40.57974766892779,39.76573122867435,49908.39638682253,3339.915660181157,9.26079821105211,0.03137248881976739,0.0005916182268037303,94.1,93.69086078639745,0.9956520806205893,0.5908607863974495,,19.721251964569092,941
vgg16,FGSM,40.807651434643994,41.23598674306118,40.45889575178761,40.27672535558995,31703.875664187035,2907.4789040836085,7.6146991398585335,0.020203806198618744,0.0006029907227524132,94.1,93.69192348565356,0.9956633739176787,0.59192348565356,,19.622029781341553,941
vgg16,GN,91.17959617428268,91.76804498865788,91.08146844279679,91.1133602748258,50050.99893730074,11198.262131791313,36.649803498092794,0.4496495223957471,0.008939587176598283,94.1,93.18820403825717,0.9903103510973132,0.08820403825717316,,13.53650951385498,941
vgg16,Jitter,15.5154091392136,16.566413108235594,15.451997101421384,15.748463780458094,50086.05738575983,2594.379965316983,7.74665739787119,0.03137257695198059,0.0003988003209107095,94.1,93.94484590860786,0.9983511786249507,0.844845908607864,,83.7646791934967,941
vgg16,MIFGSM,35.60042507970245,36.32378097196107,35.37606634157919,35.64443935889926,32088.795961742828,2430.7577372600626,6.768129865624066,0.020203806198618744,0.0004728643349708354,94.1,93.74399574920297,0.9962167454750581,0.6439957492029755,,73.68617796897888,941
vgg16,NIFGSM,35.494155154091395,35.68821271996682,35.283473748986594,35.05551904684194,32154.791710945803,2489.8721066352286,6.875611557590594,0.020237145812807885,0.00048721879348307296,94.1,93.74505844845908,0.9962280387721475,0.645058448459086,,73.82780742645264,941
vgg16,OnePixel,99.36238044633369,99.39094030610588,99.36785293746583,99.37330126337723,1.0,1.069721479915027,0.6934705826035215,0.5521952584544226,3.659924620397185e-06,94.1,93.10637619553665,0.989440767221431,0.006376195536663132,,351.26667404174805,941
vgg16,PGD,36.450584484590856,37.39601010123453,36.38455253449091,36.37728056252761,50057.79489904357,2713.3799247133616,7.989369130413286,0.03137248207386444,0.0004285144506352157,94.1,93.73549415515409,0.9961263990983432,0.6354941551540915,,73.6137011051178,941
vgg16,PGDL2,71.62592986184909,70.54002408416855,70.94459853461834,70.43827674560713,50071.378320935175,179.73145337220714,0.634726102025457,0.016690936439851742,3.4224399486805182e-06,94.1,93.3837407013815,0.9923883177617588,0.2837407013815091,,74.15023255348206,941
vgg16,PGDRS,16.578108395324122,18.474068479389167,16.390161987470194,16.790428817983052,40032.30499468651,1721.1754316275228,5.4219507835528296,0.02356277490143568,0.00023910548739832348,94.1,93.93421891604676,0.998238245654057,0.8342189160467588,,598.9283549785614,941
vgg16,PGDRSL2,67.90648246546228,67.52433915136426,67.19297631393819,67.13784038601675,24903.285866099894,99.23693549757087,0.4429152798540962,0.02598119417882328,2.9214986248472968e-06,94.1,93.42093517534538,0.9927835831598871,0.3209351753453773,,963.2514882087708,941
