model_name,attack_name,acc,prec,rec,f1,l0_pixels,l1,l2,linf,power_mse,clean_accuracy,accuracy_drop,relative_accuracy_drop,asr_unconditional,asr_conditional,time,n_samples
resnet18,APGD,0.0,0.0,0.0,0.0,50108.56288659794,2907.8634388087953,8.513945353399848,0.03137257695198059,0.00048199764332258787,97.0,97.0,1.0,1.0,,51.83578634262085,970
resnet18,APGDT,0.0,0.0,0.0,0.0,50157.728865979385,2798.839144299694,8.171804334699493,0.03137257693661857,0.0004452183183172199,97.0,97.0,1.0,1.0,,59.78213357925415,970
resnet18,BIM,0.0,0.0,0.0,0.0,49266.07422680412,2630.913626067171,8.097739138062467,0.03137257695198059,0.0004361615498843075,97.0,97.0,1.0,1.0,,39.446380615234375,970
resnet18,CW,0.0,0.0,0.0,0.0,49188.0237113402,355.90448626488757,1.2530254290275966,0.02370903916733781,1.0926622302783292e-05,97.0,97.0,1.0,1.0,,99.78648328781128,970
resnet18,DeepFool,35.36082474226804,37.657514133271654,36.06545531121504,36.06235686647254,50053.72783505155,133.15934476348542,0.5218517257199508,0.01905230384430435,2.431104562681272e-06,97.0,96.64639175257732,0.9963545541502816,0.6463917525773195,,252.70681524276733,970
resnet18,DIFGSM,0.0,0.0,0.0,0.0,49360.61649484536,2600.6827971468265,8.017827104784779,0.03137257695198059,0.0004274029252311388,97.0,97.0,1.0,1.0,,42.82225561141968,970
resnet18,EADEN,0.2061855670103093,0.1619459742984527,0.20202020202020202,0.17936679908510897,17733.178350515464,41.00765294149979,0.6460699295337052,0.07628079539875394,3.391156577656579e-06,97.0,96.9979381443299,0.9999787437559783,0.9979381443298969,,1154.5461945533752,970
resnet18,EADL1,0.5154639175257731,0.7966528583264292,0.5373082113049128,0.6115657392253137,15595.984536082475,21.678681395133747,0.7370706236873245,0.11666768763175944,4.175692352297334e-06,97.0,96.99484536082474,0.9999468593899458,0.9948453608247423,,1140.170390844345,970
resnet18,EOTPGD,0.0,0.0,0.0,0.0,50097.75154639175,2831.437488422197,8.319764431727302,0.03137257695198059,0.0004602005827053421,97.0,97.0,1.0,1.0,,71.09563088417053,970
resnet18,FAB,0.8247422680412372,0.7123832820382332,0.8750756948274488,0.7744979227391288,49703.46701030928,203.25497965357968,0.5867636931086795,0.0019431720682199008,2.996063680761571e-06,97.0,96.99175257731959,0.9999149750239132,0.9917525773195877,,266.09169268608093,970
resnet18,FFGSM,9.690721649484537,9.611688555908323,10.088108927663573,9.691035949974143,49873.58659793814,3974.3166088615494,10.686558156160965,0.03137257695198059,0.000759025438707898,97.0,96.90309278350516,0.999000956530981,0.9030927835051547,,14.010152578353882,970
resnet18,FGSM,13.711340206185568,13.003680477143142,14.086659192069954,13.34093244339628,49880.07113402062,4594.683161092542,11.972288916283047,0.03137257695198059,0.0009530339832297651,97.0,96.86288659793814,0.9985864597725582,0.8628865979381444,,13.679888010025024,970
resnet18,GN,89.27835051546393,91.29647578004578,89.49418496633355,89.48292080703568,50052.65257731959,11207.44313990013,36.66974623375332,0.45018009254612873,0.008948954640762861,97.0,96.10721649484536,0.990796046338612,0.10721649484536078,,10.462288856506348,970
resnet18,Jitter,7.11340206185567,7.283420273298738,7.086756714800926,7.088784751395921,50105.01958762886,2593.818855206991,7.742575427183171,0.03137257693661857,0.00039835068887488477,97.0,96.92886597938144,0.9992666595812519,0.9288659793814433,,51.76083278656006,970
resnet18,MIFGSM,0.0,0.0,0.0,0.0,49918.33711340206,3764.7321533203126,10.484505263063097,0.03137257695198059,0.0007306476778317166,97.0,97.0,1.0,1.0,,41.57703375816345,970
resnet18,NIFGSM,0.0,0.0,0.0,0.0,49929.23195876289,3877.6432289988725,10.687722989701733,0.03137257695198059,0.0007592850952822062,97.0,97.0,1.0,1.0,,42.01926064491272,970
resnet18,OnePixel,99.38144329896907,99.35755495896757,99.40149155102425,99.37715432940308,1.0,1.2383002100070728,0.7925374777200296,0.6187360997667017,4.630409765200549e-06,97.0,96.0061855670103,0.9897544903815495,0.006185567010309256,,129.2141559123993,970
resnet18,PGD,0.0,0.0,0.0,0.0,50097.55051546392,2831.2134871335375,8.319194911189914,0.03137257695198059,0.0004601369375487809,97.0,97.0,1.0,1.0,,41.28307390213013,970
resnet18,PGDL2,2.6804123711340204,3.3493427965643883,2.814496210273636,2.987642194893578,50067.55773195876,270.6430956968327,0.9961676055930324,0.03190842078345799,6.603464673384407e-06,97.0,96.97319587628866,0.9997236688277181,0.9731958762886598,,42.59180998802185,970
resnet18,PGDRS,0.0,0.0,0.0,0.0,49168.6,2808.737442614369,8.380467855807431,0.03137257695198059,0.00046913671444083764,97.0,97.0,1.0,1.0,,143.26268029212952,970
resnet18,PGDRSL2,50.30927835051546,56.49664475681499,50.591942888094344,52.61231204811414,49335.71237113402,229.64943083120681,0.9989050488833209,0.049061324115189694,6.635598574582261e-06,97.0,96.49690721649485,0.9948134764587098,0.49690721649484537,,197.84778761863708,970
resnet18,RFGSM,0.0,0.0,0.0,0.0,50091.146391752576,2768.219978253866,8.080533114167833,0.03137257695198059,0.00043422995181994264,97.0,97.0,1.0,1.0,,41.427743673324585,970
resnet18,SINIFGSM,0.0,0.0,0.0,0.0,49918.18247422681,3913.4080873469716,10.757416523608965,0.03137257695198059,0.0007692186356901393,97.0,97.0,1.0,1.0,,162.14940428733826,970
resnet18,SPSA,1.958762886597938,1.7744340162481393,1.9395016560411402,1.7949737957173675,50169.15257731959,8773.374690923003,28.401256966345088,0.29690679496096584,0.0053699428534864915,97.0,96.98041237113402,0.9997980656817941,0.9804123711340206,,1214.3528797626495,970
resnet18,TIFGSM,0.10309278350515465,0.10101010101010101,0.1111111111111111,0.10582010582010583,49667.59175257732,2783.6822013933634,8.439169050491962,0.03137257695198059,0.00047369196101274225,97.0,96.99896907216495,0.9999893718779892,0.9989690721649485,,43.21147418022156,970
resnet18,TPGD,46.8041237113402,48.71551817939505,47.18690184205398,47.107834212241855,50091.39793814433,2634.197319990335,8.042706987046705,0.03137257695198059,0.0004302667126241956,97.0,96.5319587628866,0.9951748326070784,0.531958762886598,,43.33063054084778,970
resnet18,UPGD,0.0,0.0,0.0,0.0,49919.35979381443,3764.8579106596326,10.484822519046745,0.03137257695198059,0.0007306909758103147,97.0,97.0,1.0,1.0,,42.44955277442932,970
resnet18,VMIFGSM,0.0,0.0,0.0,0.0,49933.245360824745,3862.9938501731635,10.662135253984903,0.03137257695198059,0.0007556510604341927,97.0,97.0,1.0,1.0,,192.26425099372864,970
