Attacks,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,0.94,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.99,1,0.99,1
APGDT,0.96,0.91,0.91,0.91,0.92,0.91,0.93,0.94,0.93,0.92,0.93,0.91,0.91,0.93,0.93,0.92,0.94,0.92,0.93,1,0.99,1,1
BIM,0.95,0.92,0.92,0.92,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.92,0.92,0.93,0.92,0.92,0.99,0.99,1,1
CW,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.94,0.93,0.95,1
DIFGSM,0.93,0.85,0.84,0.84,0.86,0.86,0.86,0.85,0.89,0.86,0.88,0.85,0.85,0.86,0.86,0.86,0.87,0.85,0.85,1,1,1,1
EADEN,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,0.94,1
EADL1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.9,1
EOTPGD,0.92,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.89,0.89,1,1,1,1
FFGSM,0.98,0.93,0.93,0.93,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.95,0.93,0.93,0.99,1,1,1
FGSM,0.96,0.85,0.85,0.85,0.87,0.87,0.9,0.88,0.9,0.86,0.89,0.85,0.86,0.89,0.86,0.87,0.88,0.86,0.85,1,0.99,1,1
GN,0.93,0.9,0.9,0.9,0.9,0.91,0.9,0.91,0.9,0.9,0.9,0.91,0.9,0.91,0.9,0.9,0.95,0.91,0.91,0.98,0.99,0.96,1
Jitter,0.89,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.88,0.87,0.88,0.87,0.88,0.94,0.97,0.99,1
MIFGSM,0.99,0.93,0.93,0.93,0.94,0.93,0.94,0.93,0.95,0.93,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,1,1,1,1
NIFGSM,0.99,0.92,0.92,0.91,0.93,0.93,0.93,0.92,0.94,0.93,0.95,0.92,0.92,0.94,0.93,0.93,0.93,0.92,0.93,1,1,1,1
PGD,0.93,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1,1,1,1
PGDL2,0.94,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.93,0.95,0.95,1
PGDRS,0.91,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.91,0.9,0.91,0.9,0.98,0.95,0.93,1
PGDRSL2,0.91,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.91,0.91,0.91,0.86,0.86,0.91,0.95,0.91,0.91,1
RFGSM,0.97,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.93,0.94,0.93,1,1,1,1
SINIFGSM,0.97,0.93,0.93,0.93,0.94,0.93,0.93,0.93,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.99,1,1,1
TIFGSM,0.95,0.85,0.85,0.85,0.88,0.85,0.85,0.85,0.86,0.85,0.87,0.85,0.85,0.9,0.85,0.88,0.85,0.85,0.86,0.97,0.97,0.98,1
TPGD,0.93,0.89,0.88,0.88,0.88,0.89,0.88,0.89,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.89,0.89,0.99,0.99,1,1
UPGD,0.96,0.88,0.88,0.87,0.88,0.87,0.89,0.87,0.9,0.88,0.88,0.87,0.87,0.89,0.88,0.91,0.89,0.87,0.87,1,1,1,1
VMIFGSM,0.98,0.91,0.91,0.91,0.93,0.91,0.91,0.91,0.95,0.93,0.94,0.91,0.91,0.95,0.91,0.94,0.94,0.91,0.92,1,1,1,1
VNIFGSM,1,0.88,0.85,0.85,0.92,0.87,0.88,0.88,0.95,0.88,0.95,0.85,0.85,0.89,0.87,0.92,0.89,0.85,0.87,1,1,1,1
Pixle,0.92,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.94,0.96,0.95,1
Square,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.92,0.92,0.92,0.92,0.96,0.96,0.96,1
