Attacks,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,0.96,0.86,0.86,0.86,0.85,0.86,0.87,0.86,0.87,0.86,0.86,0.86,0.86,0.85,0.85,0.86,0.86,0.86,0.86,1.0,1.0,1.0,1.0
APGDT,0.88,0.86,0.86,0.86,0.87,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,1.0,0.98,0.99,0.99
BIM,0.96,0.86,0.86,0.86,0.88,0.86,0.87,0.86,0.86,0.86,0.87,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,1.0,1.0,1.0,1.0
CW,0.89,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.89,0.87,0.87,0.87,1.0,0.9,0.89,0.9
DIFGSM,1.0,0.88,0.89,0.88,0.91,0.89,0.89,0.89,0.92,0.9,0.9,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.0,1.0,1.0,1.0
EADEN,0.84,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.81,0.81,1.0,0.85,0.88,0.86
EADL1,0.9,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.0,0.89,0.9,0.92
EOTPGD,0.93,0.83,0.83,0.83,0.84,0.84,0.85,0.83,0.85,0.84,0.84,0.84,0.84,0.85,0.83,0.84,0.86,0.85,0.84,1.0,1.0,1.0,0.99
FFGSM,0.98,0.83,0.83,0.83,0.86,0.85,0.87,0.84,0.87,0.84,0.85,0.83,0.84,0.86,0.86,0.86,0.87,0.85,0.84,1.0,0.99,1.0,1.0
FGSM,1.0,0.86,0.84,0.84,0.89,0.85,0.89,0.88,0.92,0.86,0.9,0.84,0.85,0.87,0.86,0.89,0.91,0.87,0.88,1.0,1.0,1.0,1.0
GN,0.91,0.86,0.85,0.85,0.87,0.86,0.85,0.86,0.86,0.86,0.85,0.86,0.85,0.87,0.85,0.86,0.94,0.87,0.86,1.0,0.98,0.95,0.96
Jitter,0.91,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.89,0.87,1.0,0.97,0.96,0.96
MIFGSM,0.99,0.89,0.89,0.89,0.89,0.89,0.89,0.91,0.91,0.9,0.92,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,1.0,1.0,1.0,1.0
NIFGSM,0.99,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.91,0.9,0.89,0.89,0.89,0.9,0.89,0.92,0.9,0.89,0.9,1.0,1.0,1.0,1.0
PGD,0.97,0.88,0.87,0.87,0.88,0.88,0.88,0.87,0.89,0.89,0.89,0.87,0.87,0.88,0.88,0.89,0.9,0.89,0.89,1.0,1.0,1.0,1.0
PGDL2,0.88,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.84,0.82,0.82,0.82,0.82,0.83,0.82,0.83,0.82,0.84,0.82,1.0,0.92,0.91,0.91
PGDRS,0.81,0.77,0.77,0.77,0.78,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.79,0.77,0.8,0.79,0.81,0.78,1.0,0.85,0.84,0.92
PGDRSL2,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,1.0,0.93,0.93,0.93
RFGSM,0.99,0.91,0.91,0.91,0.92,0.92,0.91,0.91,0.93,0.92,0.92,0.91,0.91,0.92,0.91,0.93,0.92,0.91,0.93,1.0,0.99,1.0,0.99
