Attacks,resnet18,resnet50,resnet101,resnet152,densenet121,densenet161,densenet169,densenet201,efficientnet_b0,efficientnet_b1,efficientnet_b2,efficientnet_b3,efficientnet_b4,efficientnet_b5,efficientnet_b6,efficientnet_b7,mobilenet_v2,mobilenet_v3_small,mobilenet_v3_large,vgg11,vgg13,vgg16,vgg19
APGD,1,0.88,0.87,0.88,0.91,0.88,0.92,0.91,0.92,0.87,0.88,0.87,0.87,0.91,0.89,0.89,0.91,0.89,0.89,1,1,1,1
APGDT,1,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.94,0.94,0.95,0.94,0.94,0.96,0.96,0.98,0.97
BIM,1,0.88,0.87,0.87,0.9,0.89,0.91,0.89,0.91,0.87,0.9,0.87,0.87,0.88,0.87,0.89,0.89,0.87,0.88,0.98,0.98,1,0.97
CW,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.88,0.88,0.9,0.91,0.91,0.91
DIFGSM,1,0.89,0.89,0.89,0.95,0.93,0.95,0.95,0.92,0.9,0.92,0.89,0.89,0.93,0.89,0.91,0.92,0.89,0.89,0.99,0.98,1,0.99
EADEN,1,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.78,0.77,0.77,0.78,0.78,0.78,0.77,0.78,0.77,0.85,0.87,0.82,0.83
EADL1,1,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.91,0.9,0.9,0.92
EOTPGD,1,0.87,0.87,0.88,0.89,0.88,0.88,0.88,0.88,0.87,0.87,0.87,0.87,0.91,0.88,0.88,0.88,0.88,0.87,0.98,0.98,0.97,0.97
FFGSM,1,0.86,0.82,0.82,0.94,0.86,0.88,0.87,0.88,0.84,0.88,0.84,0.82,0.89,0.85,0.88,0.89,0.84,0.85,0.99,0.99,0.97,1
FGSM,1,0.91,0.9,0.9,0.93,0.92,0.94,0.94,0.92,0.91,0.92,0.91,0.91,0.93,0.91,0.94,0.92,0.92,0.92,0.98,0.98,0.97,0.99
GN,1,0.91,0.91,0.91,0.91,0.91,0.91,0.92,0.91,0.91,0.91,0.92,0.91,0.92,0.91,0.92,0.96,0.96,0.92,1,0.99,0.99,0.99
Jitter,1,0.86,0.86,0.86,0.86,0.87,0.86,0.86,0.86,0.86,0.87,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.86,0.92,0.89,0.91,0.92
MIFGSM,1,0.89,0.88,0.88,0.93,0.92,0.95,0.93,0.93,0.89,0.91,0.88,0.89,0.88,0.88,0.89,0.93,0.89,0.9,0.97,0.98,0.99,0.98
NIFGSM,1,0.93,0.91,0.9,0.91,0.94,0.94,0.93,0.91,0.91,0.91,0.91,0.9,0.91,0.91,0.91,0.92,0.9,0.92,0.99,0.99,0.99,0.99
PGD,1,0.84,0.84,0.84,0.88,0.84,0.87,0.87,0.89,0.85,0.86,0.84,0.84,0.86,0.85,0.85,0.87,0.84,0.86,0.97,0.97,0.96,0.97
PGDL2,1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.9,0.89,0.9,0.89,0.94,0.92,0.95,0.93
PGDRS,1,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.84,0.8,0.81,0.81,0.8,0.83,0.82,0.83,0.82,0.81,0.82,0.95,0.89,0.9,0.91
PGDRSL2,1,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.9,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.97,1,0.97,0.97
RFGSM,1,0.82,0.82,0.82,0.83,0.83,0.84,0.82,0.83,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.83,0.82,0.97,0.97,0.96,0.97
SINIFGSM,1,0.85,0.82,0.83,0.88,0.86,0.87,0.85,0.89,0.85,0.84,0.83,0.83,0.85,0.84,0.83,0.89,0.84,0.87,0.99,0.98,0.99,0.98
TIFGSM,1,0.93,0.93,0.93,0.97,0.94,0.96,0.95,0.94,0.93,0.94,0.93,0.93,0.93,0.93,0.94,0.93,0.94,0.93,0.98,0.99,0.99,0.98
TPGD,1,0.88,0.88,0.87,0.9,0.88,0.87,0.88,0.89,0.87,0.88,0.87,0.87,0.88,0.87,0.87,0.88,0.9,0.87,0.97,0.97,0.95,0.97
UPGD,1,0.91,0.9,0.88,0.95,0.91,0.95,0.9,0.93,0.89,0.9,0.89,0.89,0.93,0.88,0.92,0.91,0.88,0.91,1,0.99,1,1
VMIFGSM,1,0.92,0.89,0.89,0.97,0.94,0.95,0.95,0.96,0.89,0.95,0.88,0.89,0.93,0.9,0.93,0.94,0.92,0.92,1,0.99,1,1
VNIFGSM,1,0.9,0.89,0.89,0.94,0.93,0.94,0.93,0.95,0.91,0.92,0.89,0.88,0.89,0.88,0.89,0.94,0.89,0.93,0.99,0.99,1,0.99
Pixle,1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.93,0.94,0.93,0.96
Square,1,0.84,0.83,0.83,0.83,0.83,0.84,0.83,0.83,0.84,0.84,0.83,0.83,0.84,0.83,0.83,0.83,0.87,0.83,0.87,0.89,0.87,0.93
