Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.06           0.14           0.24           0.28           0.0            0.18           0.0            0.14           0.0            0.06           0.16           0.04           0.1            0.1            
Square         0.1            0.12           0.12           0.16           0.0            0.08           0.0            0.06           0.0            0.02           0.02           0.02           0.1            0.12           
APGD           0.06           0.0            0.1            0.02           0.0            0.02           0.0            0.02           0.0            0.0            0.02           0.02           0.04           0.1            
APGDT          0.04           0.06           0.1            0.14           0.0            0.08           0.0            0.06           0.0            0.02           0.0            0.0            0.16           0.18           
BIM            0.14           0.14           0.16           0.3            0.0            0.1            0.0            0.14           0.0            0.06           0.14           0.14           0.22           0.5            
CW             0.04           0.02           0.08           0.12           0.0            0.04           0.0            0.04           0.0            0.0            0.0            0.02           0.08           0.1            
DeepFool       0.0            0.0            0.04           0.06           0.0            0.0            0.0            0.02           0.0            0.0            0.0            0.0            0.02           0.02           
DIFGSM         0.14           0.14           0.22           0.3            0.0            0.06           0.0            0.18           0.0            0.04           0.12           0.06           0.24           0.42           
EADEN          0.02           0.0            0.02           0.02           0.0            0.0            0.0            0.02           0.0            0.0            0.0            0.0            0.02           0.06           
EADL1          0.02           0.0            0.06           0.02           0.0            0.0            0.0            0.04           0.0            0.0            0.0            0.0            0.02           0.04           
EOTPGD         0.16           0.16           0.16           0.28           0.0            0.16           0.0            0.16           0.0            0.06           0.12           0.12           0.28           0.54           
FAB            0.0            0.0            0.0            0.02           0.0            0.0            0.0            0.02           0.0            0.0            0.0            0.0            0.02           0.04           
FFGSM          0.06           0.14           0.3            0.36           0.0            0.18           0.0            0.18           0.0            0.06           0.1            0.18           0.28           0.44           
FGSM           0.12           0.08           0.3            0.4            0.0            0.16           0.0            0.18           0.0            0.04           0.08           0.16           0.3            0.44           
GN             0.24           0.36           0.42           0.46           0.0            0.24           0.0            0.28           0.0            0.06           0.18           0.14           0.2            0.3            
Jitter         0.14           0.12           0.22           0.34           0.0            0.1            0.0            0.14           0.0            0.06           0.06           0.1            0.08           0.38           
MIFGSM         0.14           0.16           0.38           0.4            0.0            0.14           0.0            0.22           0.0            0.04           0.14           0.12           0.24           0.58           
NIFGSM         0.18           0.26           0.24           0.24           0.0            0.14           0.0            0.18           0.0            0.06           0.22           0.08           0.28           0.5            
OnePixel       0.0            0.0            0.04           0.1            0.0            0.02           0.0            0.0            0.0            0.0            0.06           0.0            0.04           0.02           
PGD            0.1            0.18           0.28           0.34           0.0            0.14           0.0            0.16           0.0            0.06           0.14           0.12           0.26           0.5            
PGDL2          0.04           0.02           0.04           0.06           0.0            0.02           0.0            0.04           0.0            0.0            0.0            0.04           0.06           0.46           
PGDRS          0.02           0.1            0.04           0.12           0.0            0.04           0.0            0.1            0.0            0.02           0.0            0.0            0.0            0.04           
PGDRSL2        0.0            0.0            0.0            0.02           0.0            0.0            0.0            0.02           0.0            0.0            0.02           0.0            0.0            0.0            
RFGSM          0.16           0.26           0.18           0.28           0.0            0.18           0.0            0.24           0.0            0.04           0.14           0.1            0.32           0.48           
SINIFGSM       0.24           0.22           0.38           0.34           0.0            0.14           0.0            0.16           0.0            0.06           0.22           0.2            0.26           0.7            
TIFGSM         0.22           0.26           0.34           0.36           0.0            0.1            0.0            0.28           0.0            0.04           0.18           0.14           0.18           0.56           
TPGD           0.2            0.18           0.24           0.36           0.0            0.16           0.0            0.24           0.0            0.04           0.2            0.12           0.26           0.54           
UPGD           0.08           0.16           0.18           0.36           0.0            0.1            0.0            0.14           0.0            0.02           0.12           0.18           0.24           0.44           
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.2            0.24           0.26           0.24           0.0            0.2            0.0            0.22           0.0            0.06           0.16           0.12           0.4            0.52           
