Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.12           0.16           0.26           0.26           0.0            0.12           0.0            0.1            0.0            0.02           0.18           0.08           0.04           0.06           
Square         0.1            0.12           0.1            0.14           0.0            0.12           0.0            0.14           0.0            0.0            0.08           0.04           0.0            0.02           
APGD           0.12           0.24           0.16           0.16           0.0            0.16           0.0            0.38           0.0            0.0            0.1            0.04           0.0            0.12           
APGDT          0.08           0.12           0.16           0.16           0.0            0.14           0.0            0.32           0.0            0.02           0.04           0.04           0.0            0.04           
BIM            0.24           0.24           0.3            0.34           0.0            0.14           0.0            0.46           0.0            0.02           0.16           0.06           0.04           0.14           
CW             0.06           0.04           0.02           0.1            0.0            0.04           0.0            0.28           0.0            0.0            0.06           0.0            0.0            0.02           
DeepFool       0.02           0.0            0.02           0.1            0.0            0.02           0.0            0.16           0.0            0.0            0.04           0.0            0.0            0.0            
DIFGSM         0.24           0.16           0.34           0.32           0.0            0.24           0.0            0.56           0.0            0.02           0.1            0.1            0.0            0.12           
EADEN          0.04           0.0            0.02           0.08           0.0            0.04           0.0            0.22           0.0            0.0            0.06           0.0            0.0            0.0            
EADL1          0.06           0.02           0.04           0.14           0.0            0.04           0.0            0.14           0.0            0.0            0.02           0.0            0.0            0.02           
EOTPGD         0.28           0.2            0.32           0.32           0.0            0.22           0.0            0.4            0.0            0.0            0.06           0.1            0.04           0.1            
FAB            0.02           0.02           0.08           0.04           0.0            0.0            0.0            0.14           0.0            0.0            0.04           0.0            0.0            0.02           
FFGSM          0.18           0.04           0.24           0.36           0.0            0.24           0.0            0.54           0.0            0.02           0.14           0.02           0.04           0.16           
FGSM           0.26           0.22           0.24           0.36           0.0            0.24           0.0            0.52           0.0            0.0            0.12           0.08           0.0            0.18           
GN             0.3            0.24           0.48           0.44           0.0            0.3            0.0            0.26           0.0            0.02           0.24           0.16           0.12           0.12           
Jitter         0.14           0.1            0.24           0.3            0.0            0.16           0.0            0.38           0.0            0.0            0.12           0.04           0.0            0.02           
MIFGSM         0.28           0.2            0.32           0.48           0.0            0.26           0.0            0.48           0.0            0.0            0.1            0.1            0.02           0.12           
NIFGSM         0.24           0.24           0.26           0.34           0.0            0.28           0.0            0.5            0.0            0.0            0.12           0.08           0.04           0.12           
OnePixel       0.02           0.02           0.02           0.06           0.0            0.08           0.0            0.02           0.0            0.0            0.04           0.0            0.02           0.0            
PGD            0.2            0.2            0.34           0.32           0.0            0.14           0.0            0.46           0.0            0.02           0.14           0.06           0.04           0.08           
PGDL2          0.04           0.14           0.06           0.16           0.0            0.04           0.0            0.32           0.0            0.0            0.06           0.0            0.0            0.02           
PGDRS          0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
PGDRSL2        0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
RFGSM          0.2            0.22           0.34           0.36           0.0            0.38           0.0            0.56           0.0            0.04           0.1            0.08           0.04           0.06           
SINIFGSM       0.3            0.18           0.26           0.32           0.0            0.14           0.0            0.44           0.0            0.0            0.1            0.14           0.02           0.14           
TIFGSM         0.18           0.2            0.4            0.44           0.0            0.34           0.0            0.42           0.0            0.02           0.14           0.16           0.04           0.12           
TPGD           0.12           0.26           0.26           0.32           0.0            0.26           0.0            0.36           0.0            0.04           0.06           0.04           0.04           0.08           
UPGD           0.14           0.22           0.34           0.42           0.0            0.3            0.0            0.54           0.0            0.0            0.14           0.04           0.04           0.16           
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.22           0.3            0.34           0.32           0.0            0.28           0.0            0.52           0.0            0.0            0.16           0.14           0.06           0.16           
