Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.085          0.09           0.175          0.175          0.0            0.065          0.0            0.055          0.0            0.01           0.11           0.08           0.055          0.05           
Square         0.035          0.065          0.06           0.075          0.0            0.035          0.0            0.035          0.0            0.005          0.035          0.03           0.02           0.03           
APGD           0.05           0.05           0.09           0.165          0.0            0.075          0.0            0.04           0.0            0.01           0.025          0.015          0.025          0.03           
APGDT          0.04           0.015          0.08           0.24           0.0            0.035          0.0            0.035          0.0            0.0            0.02           0.025          0.025          0.02           
BIM            0.195          0.205          0.33           0.615          0.0            0.185          0.0            0.11           0.0            0.005          0.11           0.06           0.075          0.09           
CW             0.005          0.01           0.03           0.215          0.0            0.005          0.0            0.005          0.0            0.0            0.0            0.005          0.0            0.0            
DeepFool       0.0            0.005          0.005          0.07           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
DIFGSM         0.215          0.195          0.26           0.69           0.0            0.23           0.0            0.14           0.0            0.01           0.09           0.065          0.09           0.08           
EADEN          0.005          0.0            0.005          0.11           0.0            0.005          0.0            0.0            0.0            0.0            0.01           0.0            0.0            0.0            
EADL1          0.005          0.0            0.015          0.105          0.0            0.005          0.0            0.005          0.0            0.0            0.015          0.0            0.0            0.0            
EOTPGD         0.215          0.16           0.34           0.54           0.0            0.235          0.0            0.115          0.0            0.01           0.105          0.075          0.11           0.095          
FAB            0.0            0.0            0.005          0.06           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.005          0.0            0.0            
FFGSM          0.2            0.175          0.32           0.835          0.0            0.185          0.0            0.115          0.0            0.015          0.115          0.065          0.08           0.06           
FGSM           0.245          0.21           0.305          0.89           0.0            0.195          0.0            0.11           0.0            0.02           0.105          0.085          0.09           0.07           
GN             0.3            0.21           0.44           0.355          0.0            0.35           0.0            0.18           0.0            0.015          0.26           0.17           0.2            0.18           
Jitter         0.165          0.145          0.275          0.63           0.0            0.155          0.0            0.12           0.0            0.005          0.06           0.065          0.055          0.055          
MIFGSM         0.235          0.17           0.33           0.805          0.0            0.245          0.0            0.145          0.0            0.01           0.15           0.105          0.085          0.11           
NIFGSM         0.225          0.17           0.32           0.88           0.0            0.195          0.0            0.125          0.0            0.005          0.115          0.09           0.08           0.095          
OnePixel       0.04           0.035          0.045          0.085          0.0            0.035          0.0            0.02           0.0            0.0            0.045          0.02           0.025          0.0            
PGD            0.225          0.16           0.305          0.685          0.0            0.185          0.0            0.155          0.0            0.005          0.085          0.085          0.095          0.07           
PGDL2          0.075          0.065          0.085          0.75           0.0            0.06           0.0            0.06           0.0            0.0            0.02           0.02           0.015          0.005          
PGDRS          0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
PGDRSL2        0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
RFGSM          0.25           0.175          0.245          0.665          0.0            0.175          0.0            0.18           0.0            0.01           0.11           0.085          0.08           0.095          
SINIFGSM       0.225          0.165          0.305          0.485          0.0            0.22           0.0            0.18           0.0            0.01           0.13           0.11           0.065          0.115          
TIFGSM         0.21           0.15           0.295          0.68           0.0            0.23           0.0            0.105          0.0            0.005          0.07           0.06           0.1            0.085          
TPGD           0.175          0.18           0.315          0.575          0.0            0.235          0.0            0.11           0.0            0.02           0.085          0.08           0.085          0.095          
UPGD           0.24           0.195          0.335          0.9            0.0            0.25           0.0            0.13           0.0            0.01           0.11           0.105          0.075          0.09           
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.285          0.205          0.325          0.875          0.0            0.225          0.0            0.17           0.0            0.02           0.125          0.125          0.105          0.085          
