Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.1            0.18           0.32           0.26           0.0            0.24           0.0            0.1            0.0            0.04           0.18           0.14           0.12           0.1            
Square         0.12           0.12           0.1            0.14           0.0            0.14           0.0            0.22           0.0            0.0            0.04           0.04           0.12           0.06           
APGD           0.12           0.1            0.24           0.16           0.0            0.26           0.0            0.12           0.0            0.02           0.04           0.1            0.06           0.06           
APGDT          0.12           0.22           0.2            0.24           0.0            0.52           0.0            0.16           0.0            0.02           0.04           0.04           0.06           0.1            
BIM            0.28           0.22           0.36           0.42           0.0            0.66           0.0            0.22           0.0            0.02           0.04           0.1            0.16           0.06           
CW             0.02           0.08           0.1            0.06           0.0            0.36           0.0            0.04           0.0            0.02           0.0            0.06           0.0            0.04           
DeepFool       0.0            0.04           0.04           0.04           0.0            0.24           0.0            0.02           0.0            0.0            0.0            0.04           0.0            0.02           
DIFGSM         0.22           0.34           0.32           0.42           0.0            0.6            0.0            0.3            0.0            0.02           0.12           0.14           0.2            0.12           
EADEN          0.0            0.12           0.04           0.06           0.0            0.3            0.0            0.04           0.0            0.0            0.0            0.04           0.0            0.02           
EADL1          0.0            0.1            0.04           0.04           0.0            0.4            0.0            0.08           0.0            0.0            0.0            0.06           0.0            0.0            
EOTPGD         0.2            0.36           0.28           0.4            0.0            0.6            0.0            0.24           0.0            0.02           0.04           0.12           0.08           0.1            
FAB            0.0            0.0            0.0            0.02           0.0            0.24           0.0            0.02           0.0            0.0            0.0            0.02           0.0            0.0            
FFGSM          0.16           0.36           0.34           0.28           0.0            0.7            0.0            0.18           0.0            0.02           0.02           0.14           0.14           0.14           
FGSM           0.3            0.32           0.24           0.34           0.0            0.68           0.0            0.26           0.0            0.02           0.1            0.14           0.14           0.16           
GN             0.16           0.42           0.32           0.34           0.0            0.38           0.0            0.18           0.0            0.02           0.14           0.1            0.16           0.14           
Jitter         0.12           0.14           0.22           0.34           0.0            0.5            0.0            0.2            0.0            0.0            0.0            0.1            0.1            0.06           
MIFGSM         0.28           0.34           0.32           0.34           0.0            0.56           0.0            0.28           0.0            0.0            0.06           0.16           0.14           0.06           
NIFGSM         0.22           0.34           0.24           0.32           0.0            0.66           0.0            0.24           0.0            0.04           0.08           0.12           0.14           0.16           
OnePixel       0.02           0.04           0.08           0.04           0.0            0.12           0.0            0.04           0.0            0.0            0.02           0.02           0.02           0.02           
PGD            0.14           0.32           0.32           0.24           0.0            0.64           0.0            0.18           0.0            0.02           0.04           0.12           0.1            0.12           
PGDL2          0.06           0.14           0.1            0.1            0.0            0.54           0.0            0.18           0.0            0.0            0.0            0.08           0.02           0.02           
PGDRS          0.0            0.06           0.06           0.0            0.0            0.06           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
PGDRSL2        0.0            0.02           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
RFGSM          0.16           0.36           0.3            0.24           0.0            0.7            0.0            0.38           0.0            0.02           0.02           0.1            0.16           0.08           
SINIFGSM       0.18           0.32           0.46           0.48           0.0            0.5            0.0            0.3            0.0            0.02           0.06           0.1            0.12           0.1            
TIFGSM         0.28           0.36           0.36           0.36           0.0            0.64           0.0            0.3            0.0            0.04           0.1            0.16           0.1            0.1            
TPGD           0.12           0.28           0.36           0.34           0.0            0.4            0.0            0.32           0.0            0.0            0.08           0.08           0.08           0.04           
UPGD           0.28           0.26           0.34           0.5            0.0            0.62           0.0            0.24           0.0            0.02           0.06           0.12           0.12           0.1            
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.36           0.38           0.48           0.46           0.0            0.68           0.0            0.3            0.0            0.04           0.06           0.18           0.22           0.08           
