Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.16           0.2            0.32           0.44           0.0            0.18           0.0            0.22           0.0            0.02           0.12           0.12           0.14           0.1            
Square         0.1            0.14           0.22           0.32           0.0            0.12           0.0            0.16           0.0            0.0            0.04           0.14           0.1            0.12           
APGD           0.12           0.12           0.22           0.34           0.0            0.1            0.0            0.1            0.0            0.0            0.08           0.5            0.16           0.14           
APGDT          0.16           0.08           0.16           0.2            0.0            0.2            0.0            0.12           0.0            0.02           0.06           0.6            0.22           0.1            
BIM            0.14           0.24           0.26           0.38           0.0            0.3            0.0            0.24           0.0            0.0            0.14           0.84           0.34           0.28           
CW             0.0            0.04           0.08           0.12           0.0            0.02           0.0            0.1            0.0            0.02           0.0            0.3            0.16           0.12           
DeepFool       0.02           0.0            0.0            0.06           0.0            0.0            0.0            0.06           0.0            0.02           0.0            0.22           0.12           0.06           
DIFGSM         0.14           0.26           0.24           0.4            0.0            0.26           0.0            0.36           0.0            0.0            0.1            0.84           0.34           0.26           
EADEN          0.0            0.0            0.04           0.1            0.0            0.04           0.0            0.08           0.0            0.02           0.0            0.26           0.12           0.1            
EADL1          0.0            0.0            0.08           0.1            0.0            0.02           0.0            0.06           0.0            0.0            0.02           0.24           0.12           0.08           
EOTPGD         0.16           0.26           0.32           0.48           0.0            0.3            0.0            0.18           0.0            0.0            0.04           0.54           0.34           0.26           
FAB            0.0            0.02           0.06           0.02           0.0            0.0            0.0            0.04           0.0            0.04           0.0            0.12           0.06           0.04           
FFGSM          0.22           0.22           0.32           0.34           0.0            0.24           0.0            0.18           0.0            0.0            0.06           0.74           0.38           0.12           
FGSM           0.18           0.12           0.28           0.4            0.0            0.2            0.0            0.22           0.0            0.02           0.06           0.76           0.34           0.16           
GN             0.3            0.3            0.5            0.52           0.0            0.24           0.0            0.24           0.0            0.0            0.16           0.12           0.26           0.16           
Jitter         0.16           0.22           0.14           0.32           0.0            0.12           0.0            0.18           0.0            0.02           0.02           0.4            0.24           0.12           
MIFGSM         0.26           0.26           0.44           0.3            0.0            0.38           0.0            0.34           0.0            0.0            0.1            0.9            0.42           0.26           
NIFGSM         0.16           0.16           0.32           0.38           0.0            0.26           0.0            0.24           0.0            0.0            0.08           0.7            0.32           0.32           
OnePixel       0.02           0.04           0.06           0.12           0.0            0.02           0.0            0.02           0.0            0.0            0.06           0.04           0.04           0.02           
PGD            0.2            0.22           0.3            0.4            0.0            0.22           0.0            0.26           0.0            0.04           0.1            0.62           0.3            0.24           
PGDL2          0.0            0.02           0.12           0.08           0.0            0.08           0.0            0.04           0.0            0.04           0.0            0.66           0.2            0.16           
PGDRS          0.06           0.06           0.16           0.22           0.0            0.14           0.0            0.1            0.0            0.0            0.0            0.04           0.1            0.08           
PGDRSL2        0.0            0.0            0.08           0.02           0.0            0.0            0.0            0.06           0.0            0.0            0.0            0.0            0.04           0.0            
RFGSM          0.14           0.24           0.3            0.48           0.0            0.28           0.0            0.18           0.0            0.02           0.04           0.82           0.36           0.24           
SINIFGSM       0.16           0.24           0.2            0.42           0.0            0.26           0.0            0.18           0.0            0.0            0.1            0.58           0.3            0.16           
TIFGSM         0.28           0.18           0.34           0.44           0.0            0.22           0.0            0.18           0.0            0.02           0.08           0.74           0.2            0.2            
TPGD           0.24           0.22           0.34           0.34           0.0            0.3            0.0            0.28           0.0            0.0            0.1            0.6            0.3            0.22           
UPGD           0.18           0.18           0.34           0.42           0.0            0.22           0.0            0.22           0.0            0.0            0.1            0.78           0.38           0.2            
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.28           0.26           0.48           0.54           0.0            0.26           0.0            0.24           0.0            0.02           0.06           0.78           0.36           0.22           
