Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.07           0.11           0.175          0.235          0.0            0.065          0.0            0.07           0.0            0.0            0.125          0.085          0.09           0.015          
Square         0.035          0.035          0.06           0.06           0.0            0.025          0.0            0.02           0.0            0.0            0.025          0.01           0.03           0.01           
APGD           0.03           0.045          0.13           0.08           0.0            0.055          0.0            0.035          0.0            0.005          0.015          0.015          0.03           0.01           
APGDT          0.035          0.05           0.21           0.06           0.0            0.055          0.0            0.035          0.0            0.0            0.025          0.02           0.025          0.005          
BIM            0.175          0.185          0.58           0.39           0.0            0.185          0.0            0.145          0.0            0.005          0.085          0.09           0.06           0.05           
CW             0.02           0.03           0.18           0.02           0.0            0.015          0.0            0.015          0.0            0.0            0.005          0.005          0.015          0.0            
DeepFool       0.0            0.005          0.07           0.005          0.0            0.005          0.0            0.005          0.0            0.0            0.0            0.0            0.005          0.0            
DIFGSM         0.19           0.2            0.695          0.39           0.0            0.18           0.0            0.19           0.0            0.01           0.06           0.075          0.055          0.075          
EADEN          0.005          0.01           0.07           0.03           0.0            0.005          0.0            0.0            0.0            0.0            0.0            0.0            0.005          0.0            
EADL1          0.02           0.01           0.065          0.025          0.0            0.005          0.0            0.0            0.0            0.0            0.0            0.0            0.005          0.0            
EOTPGD         0.14           0.17           0.73           0.325          0.0            0.17           0.0            0.175          0.0            0.005          0.09           0.065          0.075          0.04           
FAB            0.0            0.0            0.025          0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
FFGSM          0.16           0.205          0.855          0.365          0.0            0.205          0.0            0.145          0.0            0.01           0.09           0.095          0.105          0.075          
FGSM           0.205          0.2            0.8            0.41           0.0            0.185          0.0            0.16           0.0            0.005          0.11           0.085          0.115          0.08           
GN             0.24           0.185          0.355          0.49           0.0            0.245          0.0            0.21           0.0            0.025          0.16           0.235          0.175          0.16           
Jitter         0.14           0.125          0.74           0.335          0.0            0.13           0.0            0.155          0.0            0.005          0.065          0.055          0.075          0.045          
MIFGSM         0.18           0.195          0.685          0.41           0.0            0.205          0.0            0.185          0.0            0.005          0.09           0.08           0.105          0.095          
NIFGSM         0.16           0.135          0.805          0.35           0.0            0.2            0.0            0.165          0.0            0.015          0.085          0.085          0.11           0.07           
OnePixel       0.02           0.025          0.035          0.065          0.0            0.035          0.0            0.015          0.0            0.0            0.02           0.015          0.03           0.01           
PGD            0.15           0.18           0.785          0.43           0.0            0.175          0.0            0.13           0.0            0.01           0.105          0.08           0.085          0.065          
PGDL2          0.04           0.055          0.555          0.145          0.0            0.08           0.0            0.07           0.0            0.0            0.015          0.005          0.045          0.015          
PGDRS          0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
PGDRSL2        0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
RFGSM          0.165          0.195          0.76           0.415          0.0            0.195          0.0            0.18           0.0            0.01           0.085          0.075          0.08           0.065          
SINIFGSM       0.135          0.155          0.57           0.385          0.0            0.2            0.0            0.125          0.0            0.005          0.11           0.09           0.09           0.1            
TIFGSM         0.14           0.155          0.68           0.365          0.0            0.195          0.0            0.175          0.0            0.015          0.09           0.09           0.12           0.075          
TPGD           0.16           0.16           0.615          0.38           0.0            0.135          0.0            0.19           0.0            0.005          0.085          0.03           0.07           0.075          
UPGD           0.175          0.195          0.86           0.44           0.0            0.265          0.0            0.165          0.0            0.01           0.1            0.12           0.115          0.095          
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.205          0.225          0.875          0.43           0.0            0.255          0.0            0.19           0.0            0.015          0.105          0.135          0.1            0.085          
