Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.14           0.16           0.26           0.14           0.0            0.14           0.0            0.14           0.0            0.0            0.16           0.04           0.18           0.1            
Square         0.12           0.12           0.26           0.14           0.0            0.12           0.0            0.12           0.0            0.02           0.08           0.06           0.12           0.08           
APGD           0.1            0.08           0.2            0.12           0.0            0.1            0.0            0.1            0.0            0.0            0.04           0.1            0.36           0.14           
APGDT          0.12           0.08           0.12           0.18           0.0            0.18           0.0            0.08           0.0            0.0            0.04           0.06           0.34           0.1            
BIM            0.18           0.18           0.3            0.24           0.0            0.2            0.0            0.16           0.0            0.02           0.06           0.32           0.64           0.22           
CW             0.04           0.0            0.06           0.0            0.0            0.0            0.0            0.04           0.0            0.0            0.02           0.02           0.32           0.1            
DeepFool       0.0            0.0            0.02           0.0            0.0            0.02           0.0            0.02           0.0            0.0            0.0            0.04           0.14           0.04           
DIFGSM         0.16           0.18           0.26           0.38           0.0            0.12           0.0            0.14           0.0            0.02           0.1            0.22           0.78           0.2            
EADEN          0.0            0.02           0.08           0.04           0.0            0.02           0.0            0.02           0.0            0.0            0.04           0.02           0.18           0.04           
EADL1          0.0            0.0            0.04           0.02           0.0            0.02           0.0            0.02           0.0            0.0            0.04           0.02           0.2            0.02           
EOTPGD         0.3            0.14           0.28           0.38           0.0            0.2            0.0            0.18           0.0            0.02           0.1            0.24           0.76           0.2            
FAB            0.0            0.0            0.02           0.02           0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.02           0.08           0.0            
FFGSM          0.16           0.08           0.2            0.24           0.0            0.22           0.0            0.14           0.0            0.04           0.08           0.18           0.68           0.2            
FGSM           0.26           0.22           0.3            0.28           0.02           0.22           0.0            0.18           0.0            0.0            0.14           0.24           0.58           0.24           
GN             0.34           0.18           0.5            0.48           0.0            0.34           0.0            0.26           0.0            0.04           0.16           0.2            0.26           0.24           
Jitter         0.18           0.08           0.2            0.18           0.0            0.18           0.0            0.14           0.0            0.06           0.06           0.16           0.54           0.16           
MIFGSM         0.16           0.24           0.32           0.3            0.0            0.18           0.0            0.2            0.0            0.02           0.16           0.3            0.66           0.18           
NIFGSM         0.26           0.18           0.36           0.32           0.0            0.28           0.0            0.18           0.0            0.04           0.02           0.3            0.6            0.24           
OnePixel       0.02           0.0            0.04           0.04           0.0            0.02           0.0            0.04           0.0            0.0            0.02           0.02           0.02           0.02           
PGD            0.18           0.16           0.28           0.4            0.0            0.14           0.0            0.18           0.0            0.04           0.14           0.2            0.86           0.22           
PGDL2          0.02           0.1            0.1            0.04           0.0            0.04           0.0            0.08           0.0            0.02           0.02           0.04           0.54           0.06           
PGDRS          0.1            0.1            0.18           0.2            0.0            0.12           0.0            0.14           0.0            0.02           0.08           0.08           0.08           0.1            
PGDRSL2        0.0            0.0            0.06           0.02           0.0            0.0            0.0            0.04           0.0            0.0            0.0            0.02           0.0            0.02           
RFGSM          0.18           0.12           0.32           0.24           0.0            0.2            0.0            0.18           0.0            0.02           0.04           0.2            0.72           0.24           
SINIFGSM       0.24           0.2            0.3            0.34           0.0            0.22           0.0            0.18           0.0            0.02           0.1            0.34           0.8            0.28           
TIFGSM         0.18           0.18           0.36           0.3            0.0            0.24           0.0            0.24           0.0            0.02           0.04           0.14           0.64           0.06           
TPGD           0.22           0.2            0.2            0.26           0.0            0.22           0.0            0.14           0.0            0.02           0.12           0.26           0.6            0.3            
UPGD           0.2            0.18           0.24           0.28           0.0            0.14           0.0            0.2            0.0            0.02           0.12           0.34           0.78           0.32           
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.22           0.24           0.38           0.32           0.0            0.26           0.0            0.16           0.0            0.02           0.14           0.28           0.66           0.22           
