Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.16           0.225          0.3            0.435          0.0            0.205          0.0            0.19           0.0            0.005          0.255          0.135          0.035          0.165          
Square         0.135          0.2            0.255          0.34           0.0            0.205          0.0            0.15           0.0            0.025          0.13           0.065          0.02           0.09           
APGD           0.125          0.2            0.28           0.345          0.0            0.215          0.0            0.185          0.0            0.01           0.075          0.05           0.015          0.105          
APGDT          0.145          0.19           0.235          0.33           0.0            0.175          0.0            0.16           0.0            0.02           0.065          0.04           0.035          0.095          
BIM            0.245          0.26           0.285          0.39           0.0            0.26           0.0            0.21           0.0            0.02           0.11           0.09           0.03           0.145          
CW             0.05           0.075          0.065          0.115          0.0            0.13           0.0            0.06           0.0            0.0            0.03           0.02           0.0            0.005          
DeepFool       0.04           0.065          0.035          0.1            0.0            0.085          0.0            0.035          0.0            0.0            0.03           0.01           0.0            0.005          
DIFGSM         0.24           0.27           0.36           0.425          0.0            0.29           0.0            0.2            0.0            0.02           0.13           0.1            0.045          0.145          
EADEN          0.04           0.045          0.06           0.1            0.0            0.095          0.0            0.035          0.0            0.0            0.01           0.005          0.005          0.0            
EADL1          0.045          0.04           0.05           0.09           0.0            0.08           0.0            0.025          0.0            0.0            0.025          0.02           0.0            0.005          
EOTPGD         0.19           0.23           0.3            0.37           0.0            0.3            0.0            0.24           0.0            0.01           0.1            0.09           0.02           0.13           
FAB            0.015          0.035          0.045          0.07           0.0            0.05           0.0            0.02           0.0            0.0            0.02           0.015          0.0            0.005          
FFGSM          0.205          0.255          0.27           0.435          0.0            0.285          0.0            0.26           0.0            0.015          0.13           0.085          0.04           0.13           
FGSM           0.25           0.325          0.315          0.47           0.0            0.27           0.0            0.255          0.0            0.02           0.125          0.09           0.04           0.135          
GN             0.19           0.275          0.34           0.475          0.0            0.295          0.0            0.26           0.0            0.02           0.245          0.175          0.05           0.23           
Jitter         0.125          0.21           0.26           0.365          0.0            0.2            0.0            0.19           0.0            0.015          0.065          0.075          0.015          0.075          
MIFGSM         0.23           0.29           0.315          0.435          0.0            0.29           0.0            0.29           0.0            0.015          0.115          0.115          0.04           0.11           
NIFGSM         0.235          0.3            0.34           0.39           0.0            0.255          0.0            0.25           0.0            0.02           0.095          0.095          0.035          0.095          
OnePixel       0.01           0.03           0.035          0.085          0.0            0.015          0.0            0.005          0.0            0.0            0.035          0.02           0.015          0.005          
PGD            0.19           0.28           0.32           0.385          0.0            0.305          0.0            0.215          0.0            0.02           0.12           0.08           0.025          0.115          
PGDL2          0.075          0.075          0.1            0.175          0.0            0.105          0.0            0.1            0.0            0.005          0.04           0.02           0.005          0.005          
PGDRS          0.035          0.03           0.04           0.085          0.0            0.055          0.0            0.04           0.0            0.005          0.01           0.01           0.01           0.01           
PGDRSL2        0.005          0.01           0.005          0.01           0.0            0.01           0.0            0.0            0.0            0.0            0.0            0.01           0.0            0.0            
RFGSM          0.17           0.29           0.35           0.42           0.0            0.315          0.0            0.175          0.0            0.015          0.11           0.1            0.015          0.1            
SINIFGSM       0.195          0.28           0.35           0.41           0.0            0.295          0.0            0.265          0.0            0.03           0.1            0.085          0.045          0.135          
TIFGSM         0.235          0.31           0.36           0.43           0.0            0.25           0.0            0.24           0.0            0.01           0.135          0.105          0.035          0.175          
TPGD           0.195          0.265          0.33           0.41           0.0            0.275          0.0            0.23           0.0            0.025          0.1            0.085          0.025          0.12           
UPGD           0.215          0.32           0.36           0.43           0.0            0.36           0.0            0.29           0.0            0.015          0.105          0.145          0.035          0.145          
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        0.255          0.355          0.375          0.41           0.0            0.33           0.0            0.27           0.0            0.025          0.105          0.11           0.015          0.145          
