Attacks        ResNet18       ResNet50       ResNet101      ResNet152      DenseNet121    DenseNet161    DenseNet169    DenseNet201    EfficientNetB0 MobileNetV2    VGG11          VGG13          VGG16          VGG19          
Pixle          0.135          0.15           0.27           0.275          0.0            0.24           0.0            0.15           0.0            0.02           0.16           0.145          0.105          0.075          
Square         0.165          0.165          0.235          0.265          0.0            0.205          0.0            0.14           0.0            0.025          0.055          0.11           0.105          0.06           
APGD           0.745          0.18           0.27           0.295          0.0            0.215          0.0            0.13           0.0            0.025          0.045          0.1            0.065          0.055          
APGDT          0.75           0.195          0.24           0.315          0.0            0.21           0.0            0.125          0.0            0.01           0.04           0.065          0.06           0.05           
BIM            1.0            0.265          0.395          0.435          0.0            0.225          0.0            0.185          0.0            0.03           0.05           0.07           0.08           0.05           
CW             0.52           0.055          0.08           0.13           0.0            0.055          0.0            0.045          0.0            0.005          0.01           0.02           0.02           0.005          
DeepFool       0.38           0.045          0.06           0.105          0.0            0.045          0.0            0.05           0.0            0.0            0.005          0.025          0.005          0.0            
DIFGSM         1.0            0.275          0.32           0.455          0.0            0.225          0.0            0.195          0.0            0.015          0.07           0.12           0.115          0.055          
EADEN          0.5            0.055          0.07           0.14           0.0            0.055          0.0            0.04           0.0            0.005          0.01           0.015          0.02           0.005          
EADL1          0.48           0.07           0.06           0.135          0.0            0.05           0.0            0.05           0.0            0.0            0.01           0.025          0.015          0.01           
EOTPGD         1.0            0.265          0.275          0.405          0.0            0.295          0.0            0.145          0.0            0.03           0.035          0.1            0.105          0.045          
FAB            0.265          0.025          0.04           0.08           0.0            0.045          0.0            0.03           0.0            0.0            0.0            0.015          0.005          0.0            
FFGSM          0.98           0.26           0.305          0.43           0.0            0.24           0.0            0.21           0.0            0.025          0.065          0.105          0.12           0.06           
FGSM           0.965          0.295          0.38           0.435          0.0            0.27           0.0            0.225          0.0            0.035          0.07           0.13           0.14           0.06           
GN             0.16           0.26           0.335          0.365          0.0            0.265          0.0            0.245          0.0            0.035          0.175          0.175          0.235          0.125          
Jitter         0.815          0.2            0.25           0.325          0.0            0.215          0.0            0.14           0.0            0.03           0.025          0.07           0.1            0.005          
MIFGSM         1.0            0.295          0.425          0.47           0.0            0.325          0.0            0.215          0.0            0.02           0.085          0.115          0.1            0.045          
NIFGSM         0.955          0.23           0.29           0.46           0.0            0.27           0.0            0.185          0.0            0.02           0.045          0.1            0.11           0.035          
OnePixel       0.03           0.035          0.03           0.06           0.0            0.03           0.0            0.015          0.0            0.0            0.01           0.015          0.005          0.01           
PGD            1.0            0.25           0.33           0.42           0.0            0.28           0.0            0.26           0.0            0.03           0.045          0.12           0.07           0.04           
PGDL2          0.795          0.085          0.105          0.155          0.0            0.065          0.0            0.055          0.0            0.0            0.005          0.015          0.025          0.005          
PGDRS          0.145          0.135          0.235          0.305          0.0            0.195          0.0            0.14           0.0            0.025          0.025          0.08           0.085          0.05           
PGDRSL2        0.015          0.005          0.055          0.095          0.0            0.045          0.0            0.025          0.0            0.0            0.005          0.01           0.015          0.005          
RFGSM          1.0            0.25           0.295          0.45           0.0            0.26           0.0            0.165          0.0            0.01           0.05           0.115          0.065          0.05           
SINIFGSM       0.935          0.25           0.34           0.455          0.0            0.265          0.0            0.175          0.0            0.03           0.065          0.125          0.105          0.04           
TIFGSM         0.905          0.275          0.37           0.455          0.0            0.23           0.0            0.16           0.0            0.02           0.08           0.125          0.15           0.06           
TPGD           0.58           0.22           0.33           0.42           0.0            0.25           0.0            0.21           0.0            0.025          0.05           0.095          0.09           0.045          
UPGD           1.0            0.305          0.36           0.485          0.0            0.345          0.0            0.22           0.0            0.03           0.055          0.105          0.095          0.05           
VANILA         0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            0.0            
VMIFGSM        1.0            0.3            0.375          0.55           0.0            0.275          0.0            0.235          0.0            0.04           0.075          0.12           0.13           0.06           
