model_name,class_name,accuracy,precision,recall,f1,samples
resnet18_adv_passive,church,0.9926650366748166,1.0,0.9926650366748166,0.996319018404908,409
resnet18_adv_passive,English springer,0.9924050632911392,1.0,0.9924050632911392,0.9961880559085133,395
resnet18_adv_passive,French horn,0.9898477157360406,1.0,0.9898477157360406,0.9948979591836734,394
resnet18_adv_passive,tench,0.9896640826873385,1.0,0.9896640826873385,0.9948051948051948,387
resnet18_adv_passive,golf ball,0.9849624060150376,1.0,0.9849624060150376,0.9924242424242424,399
resnet18_adv_passive,parachute,0.9794871794871794,1.0,0.9794871794871794,0.9896373056994818,390
resnet18_adv_passive,garbage truck,0.9794344473007712,1.0,0.9794344473007712,0.9896103896103896,389
resnet18_adv_passive,cassette player,0.9775910364145658,1.0,0.9775910364145658,0.9886685552407931,357
resnet18_adv_passive,chain saw,0.9430051813471503,1.0,0.9430051813471503,0.9706666666666667,386
resnet18_adv_passive,gas pump,0.9331742243436754,1.0,0.9331742243436754,0.9654320987654321,419
