model_name,class_name,accuracy,precision,recall,f1,samples
efficientnet_b0_adv_passive,golf ball,0.9974937343358395,1.0,0.9974937343358395,0.9987452948557088,399
efficientnet_b0_adv_passive,English springer,0.9974683544303797,1.0,0.9974683544303797,0.9987325728770595,395
efficientnet_b0_adv_passive,tench,0.9974160206718347,1.0,0.9974160206718347,0.9987063389391979,387
efficientnet_b0_adv_passive,church,0.9951100244498777,1.0,0.9951100244498777,0.9975490196078431,409
efficientnet_b0_adv_passive,French horn,0.9949238578680203,1.0,0.9949238578680203,0.9974554707379135,394
efficientnet_b0_adv_passive,parachute,0.9948717948717949,1.0,0.9948717948717949,0.9974293059125964,390
efficientnet_b0_adv_passive,garbage truck,0.9922879177377892,1.0,0.9922879177377892,0.9961290322580645,389
efficientnet_b0_adv_passive,gas pump,0.9809069212410502,1.0,0.9809069212410502,0.9903614457831326,419
efficientnet_b0_adv_passive,cassette player,0.9747899159663865,1.0,0.9747899159663865,0.9872340425531915,357
efficientnet_b0_adv_passive,chain saw,0.9715025906735751,1.0,0.9715025906735751,0.985545335085414,386
