model_name,class_name,accuracy,precision,recall,f1,samples
mobilenet_v2_adv_passive,English springer,0.9974683544303797,1.0,0.9974683544303797,0.9987325728770595,395
mobilenet_v2_adv_passive,tench,0.9948320413436692,1.0,0.9948320413436692,0.9974093264248705,387
mobilenet_v2_adv_passive,church,0.9926650366748166,1.0,0.9926650366748166,0.996319018404908,409
mobilenet_v2_adv_passive,golf ball,0.9924812030075187,1.0,0.9924812030075187,0.9962264150943396,399
mobilenet_v2_adv_passive,French horn,0.9898477157360406,1.0,0.9898477157360406,0.9948979591836734,394
mobilenet_v2_adv_passive,garbage truck,0.9845758354755784,1.0,0.9845758354755784,0.9922279792746114,389
mobilenet_v2_adv_passive,parachute,0.9794871794871794,1.0,0.9794871794871794,0.9896373056994818,390
mobilenet_v2_adv_passive,cassette player,0.969187675070028,1.0,0.969187675070028,0.984352773826458,357
mobilenet_v2_adv_passive,gas pump,0.964200477326969,1.0,0.964200477326969,0.9817739975698664,419
mobilenet_v2_adv_passive,chain saw,0.961139896373057,1.0,0.961139896373057,0.9801849405548217,386
