model_name,class_name,accuracy,precision,recall,f1,samples
inception_v3_adv_passive,tench,1.0,1.0,1.0,1.0,387
inception_v3_adv_passive,English springer,0.9949367088607595,1.0,0.9949367088607595,0.9974619289340101,395
inception_v3_adv_passive,golf ball,0.9899749373433584,1.0,0.9899749373433584,0.9949622166246851,399
inception_v3_adv_passive,French horn,0.9898477157360406,1.0,0.9898477157360406,0.9948979591836734,394
inception_v3_adv_passive,parachute,0.9897435897435898,1.0,0.9897435897435898,0.9948453608247423,390
inception_v3_adv_passive,garbage truck,0.987146529562982,1.0,0.987146529562982,0.9935316946959897,389
inception_v3_adv_passive,church,0.9853300733496333,1.0,0.9853300733496333,0.9926108374384237,409
inception_v3_adv_passive,cassette player,0.9831932773109243,1.0,0.9831932773109243,0.9915254237288135,357
inception_v3_adv_passive,chain saw,0.966321243523316,1.0,0.966321243523316,0.9828722002635046,386
inception_v3_adv_passive,gas pump,0.964200477326969,1.0,0.964200477326969,0.9817739975698664,419
