Models,resnet18,densenet121,mobilenet_v2,efficientnet_b0,vgg16
resnet18,0.89,0.89,0.89,0.89,0.89
densenet121,0.87,0.87,0.88,0.87,0.87
mobilenet_v2,0.88,0.88,0.89,0.88,0.88
efficientnet_b0,0.9,0.9,0.9,0.9,0.9
vgg16,0.85,0.85,0.85,0.85,0.85
