model_name,attack_name,acc,prec,rec,f1,L0_pixels,L1,L2,Linf,power_mse,clean_accuracy,AD,RAD,asr_unconditional,time,n_samples
resnet18,APGD,0.04266826923076923,0.0473359210816912,0.04184447135956946,0.044042680909370475,47880.70913461538,3462.331428161034,9.682842410527742,0.030033963392130457,0.0006511515947085383,0.8478980891719745,0.8052298199412052,0.949677597136187,0.9573317307692307,90.16321921348572,3328
resnet18,APGDT,0.020432692307692308,0.023166764002154786,0.0200028515631658,0.021401408375885323,49092.808894230766,3137.7383447793814,8.888875995547725,0.030740977596276656,0.000538903743089437,0.8478980891719745,0.8274653968642822,0.9759019479243713,0.9795673076923077,189.33298802375793,3328
resnet18,BIM,0.04807692307692309,0.05287504472226447,0.047063522601865124,0.049366424683142986,49727.23257211538,3656.6614795831533,10.258848373706524,0.03137257695198059,0.0006996486250028073,0.8478980891719745,0.7998211660950514,0.9432987009985206,0.9519230769230769,70.78820085525513,3328
resnet18,CW,0.4212740384615385,0.4208901907553548,0.41394989538961546,0.4156863591874986,28541.99549278846,171.2010342742388,0.7681813795173255,0.031014239375228778,8.43437707610272e-06,0.8478980891719745,0.426624050710436,0.5031548674995376,0.5787259615384615,240.31782627105713,3328
resnet18,DeepFool,0.18689903846153846,0.1928941267835735,0.18816320616991175,0.1870292554954181,49980.84645432692,766.7770946471629,3.4774388490265595,0.1412233473109574,0.00013284495679672818,0.8478980891719745,0.6609990507104361,0.7795737001317493,0.8131009615384616,614.6648135185242,3328
resnet18,DIFGSM,0.10817307692307693,0.11702919312576357,0.10594545518344994,0.11022791238759563,49600.736778846156,3234.6255927452676,9.370384423921887,0.03137257695198059,0.0005843465035450907,0.8478980891719745,0.7397250122488976,0.8724220772466716,0.8918269230769231,69.06108546257019,3328
resnet18,EADEN,0.0,0.0,0.0,0.0,10984.988882211539,232.08350945361488,2.9557859371931183,0.2403446422876396,8.188122254838156e-05,0.8478980891719745,0.8478980891719745,1.0,1.0,1047.211650133133,3328
resnet18,EADL1,0.0018028846153846153,0.001602476809971868,0.001905015456334685,0.0017296688188136145,5943.232271634615,185.7799855228144,3.1545572017737586,0.3040851026117497,8.68857118992067e-05,0.8478980891719745,0.8460952045565899,0.9978737012874446,0.9981971153846154,1042.7119600772858,3328
resnet18,EOTPGD,0.056490384615384616,0.06208170870894549,0.05520171396044889,0.0579217877817924,49977.04417067308,3631.809562903184,10.12234479532792,0.03137257695198059,0.0006810793860093047,0.8478980891719745,0.7914077045565899,0.9333759736732619,0.9435096153846154,107.22596907615662,3328
resnet18,FAB,0.1006610576923077,0.10857923765478202,0.098331025068991,0.10224328285626905,45004.89122596154,1095.4799076626794,3.1474938454130097,0.010282076131541263,0.0001021082108090525,0.8478980891719745,0.7472370314796668,0.8812816552156527,0.8993389423076923,392.84885573387146,3328
resnet18,FFGSM,0.3623798076923077,0.36040191375347547,0.3535981099019175,0.3562232929478831,49881.64122596154,3971.319417513334,10.679477526304813,0.03137257695198059,0.000758008707337537,0.8478980891719745,0.4855182814796668,0.5726139587763498,0.6376201923076923,30.760457038879395,3328
resnet18,FGSM,0.3269230769230769,0.3274488364994266,0.3187750710944591,0.3221083620365131,49879.342247596156,4595.139114086444,11.972635125884644,0.03137257695198059,0.0009530716380455628,0.8478980891719745,0.5209750122488976,0.6144311667899409,0.6730769230769231,30.041879653930664,3328
resnet18,GN,0.9741586538461539,0.9741352134718817,0.9734803467747669,0.973463335953342,50060.09375,11206.794954593364,36.670759989091984,0.4491365881403908,0.008949016045265195,0.8478980891719745,0.0,0.0,0.025841346153846145,26.281864166259766,3328
resnet18,Jitter,0.46243990384615385,0.4628315250888547,0.4564169413278824,0.45840574641264753,50051.44320913462,2774.7592006096475,8.162474076621807,0.031372576947503075,0.0004465250797326147,0.8478980891719745,0.38545818532582066,0.45460438022952104,0.5375600961538461,81.85200572013855,3328
resnet18,MIFGSM,0.078125,0.08344091617534946,0.07631445723195965,0.07899334845237135,49906.354567307695,4037.126295163081,10.996815827890085,0.03137257695198059,0.0008037525725600203,0.8478980891719745,0.7697730891719745,0.9078603891225961,0.921875,67.73214364051819,3328
resnet18,NIFGSM,0.14903846153846154,0.15318330382102324,0.14590963059396134,0.14841836277854453,49873.33413461538,3928.025082588196,10.787726108557903,0.03137257695198059,0.0007734593558290306,0.8478980891719745,0.698859627633513,0.8242259730954141,0.8509615384615384,67.96317744255066,3328
resnet18,PGD,0.056490384615384616,0.06172103991144493,0.05525438745696472,0.057804620514307924,49977.03064903846,3632.0074924322275,10.122697839943262,0.03137257695198059,0.0006811224148070603,0.8478980891719745,0.7914077045565899,0.9333759736732619,0.9435096153846154,67.08236837387085,3328
resnet18,PGDL2,0.7833533653846154,0.7734760699480322,0.7745103083785594,0.7736898354413364,50069.577223557695,229.231800113733,0.9999002442301179,0.041509683311093025,6.641981215420418e-06,0.8478980891719745,0.06454472378735909,0.07612320939464677,0.21664663461538458,68.53815174102783,3328
resnet18,PGDRS,0.033052884615384616,0.03720691057769439,0.03234787212924848,0.03424569038185947,49660.479567307695,4002.743972191444,10.878617711651783,0.03137257695198059,0.0007872713651015426,0.8478980891719745,0.8148452045565899,0.961017856936483,0.9669471153846154,127.8088481426239,3328
resnet18,PGDRSL2,0.7896634615384616,0.7803884369665781,0.7809913972247283,0.7804763870443264,49760.27463942308,210.83228589594364,0.9999765939831448,0.04408767360179739,6.64301622490025e-06,0.8478980891719745,0.05823462763351295,0.06868116390070263,0.21033653846153844,136.49971055984497,3328
resnet18,RFGSM,0.05228365384615385,0.05769515072189411,0.05116638679127681,0.0537570772873784,49973.612980769234,3662.6815865590024,10.142315577429075,0.03137257695198059,0.0006837798385434396,0.8478980891719745,0.7956144353258207,0.9383373373358913,0.9477163461538461,68.09942650794983,3328
resnet18,SINIFGSM,0.4212740384615385,0.4328893498860387,0.4141169683019775,0.4175396663120696,49888.966346153844,3943.6864519852857,10.82037804934841,0.03137257695198059,0.0007782208851599884,0.8478980891719745,0.426624050710436,0.5031548674995376,0.5787259615384615,237.72360277175903,3328
resnet18,SPSA,0.880108173076923,0.8745417883133697,0.8742559418810171,0.8741972972528375,50162.211838942305,3366.3407247249897,9.539061066336357,0.03137257695198059,0.0006047721075307121,0.8478980891719745,0.0,0.0,0.11989182692307698,1302.5643048286438,3328
resnet18,TIFGSM,0.19861778846153846,0.20914774383381562,0.19482397435585283,0.19994033839802372,49900.610276442305,3451.908220804655,9.808016452651758,0.03137257695198059,0.0006404227102533556,0.8478980891719745,0.6492803007104361,0.7657527585001387,0.8013822115384616,70.61573934555054,3328
resnet18,TPGD,0.5081129807692307,0.5118418966870315,0.5075402359503899,0.5075487991009487,49972.657752403844,3673.4999701426577,10.266007964427654,0.03137257695198059,0.0007006157299586518,0.8478980891719745,0.3397851084027438,0.4007381461781158,0.4918870192307693,70.74788856506348,3328
resnet18,UPGD,0.07782451923076923,0.08316073718459706,0.07602792428067026,0.07871085025193161,49906.70913461538,4037.1565721951997,10.996872811649855,0.03137257695198059,0.0008037610863923944,0.8478980891719745,0.7700735699412052,0.9082147722413554,0.9221754807692307,69.24232006072998,3328
resnet18,VMIFGSM,0.07602163461538461,0.08147859422339422,0.07424102606748868,0.07696017154054358,49903.35997596154,4067.7646444760835,11.051737916297638,0.03137257695198059,0.0008118182172788343,0.8478980891719745,0.7718764545565899,0.9103410709539109,0.9239783653846154,277.6080732345581,3328
resnet18,VNIFGSM,0.08713942307692307,0.09282726510529131,0.08497679269707559,0.08816295802380156,49894.81129807692,4113.621583351722,11.13150893438321,0.03137257695198059,0.0008236395671806699,0.8478980891719745,0.7607586660950514,0.8972288955598188,0.9128605769230769,277.4098606109619,3328
resnet18,OnePixel,0.997295673076923,0.9972705558989273,0.9969579331868381,0.997107136926856,1.0,1.4152660954904814,0.884375337878457,0.6634494521914838,5.6079630872247085e-06,0.8478980891719745,0.0,0.0,0.002704326923076983,361.48365569114685,3328
resnet18,Pixle,0.876201923076923,0.8728719793715548,0.8708149276076813,0.8711013558597483,759.16015625,636.2617572779552,16.826725087486782,0.9019725734475427,0.0020592445958531433,0.8478980891719745,0.0,0.0,0.12379807692307698,5096.3783802986145,3328
resnet18,Square,0.5997596153846154,0.5917822391236254,0.5905025116800293,0.5905542302057375,20044.73737980769,1842.3533853384165,4.796661460342316,0.012556572265636463,0.00038218476545527944,0.8478980891719745,0.2481384737873591,0.2926512949565458,0.4002403846153846,2886.727840423584,3328
