model_name,class_name,accuracy,precision,recall,f1,samples
densenet121,tench,1.0,1.0,1.0,1.0,387
densenet121,church,0.9975550122249389,1.0,0.9975550122249389,0.9987760097919216,409
densenet121,English springer,0.9949367088607595,1.0,0.9949367088607595,0.9974619289340101,395
densenet121,garbage truck,0.9922879177377892,1.0,0.9922879177377892,0.9961290322580645,389
densenet121,French horn,0.9898477157360406,1.0,0.9898477157360406,0.9948979591836734,394
densenet121,golf ball,0.9824561403508771,1.0,0.9824561403508771,0.9911504424778761,399
densenet121,cassette player,0.9803921568627451,1.0,0.9803921568627451,0.99009900990099,357
densenet121,parachute,0.9794871794871794,1.0,0.9794871794871794,0.9896373056994818,390
densenet121,chain saw,0.9715025906735751,1.0,0.9715025906735751,0.985545335085414,386
densenet121,gas pump,0.9594272076372315,1.0,0.9594272076372315,0.979293544457978,419
