model_name,class_name,accuracy,precision,recall,f1,samples
efficientnet_b0,English springer,0.9949367088607595,1.0,0.9949367088607595,0.9974619289340101,395
efficientnet_b0,tench,0.9948320413436692,1.0,0.9948320413436692,0.9974093264248705,387
efficientnet_b0,church,0.9926650366748166,1.0,0.9926650366748166,0.996319018404908,409
efficientnet_b0,golf ball,0.9899749373433584,1.0,0.9899749373433584,0.9949622166246851,399
efficientnet_b0,parachute,0.9897435897435898,1.0,0.9897435897435898,0.9948453608247423,390
efficientnet_b0,garbage truck,0.9897172236503856,1.0,0.9897172236503856,0.9948320413436693,389
efficientnet_b0,gas pump,0.9856801909307876,1.0,0.9856801909307876,0.9927884615384616,419
efficientnet_b0,French horn,0.9847715736040609,1.0,0.9847715736040609,0.9923273657289001,394
efficientnet_b0,cassette player,0.9831932773109243,1.0,0.9831932773109243,0.9915254237288135,357
efficientnet_b0,chain saw,0.9818652849740933,1.0,0.9818652849740933,0.9908496732026144,386
