model_name,attack_name,acc,prec,rec,f1,L0_pixels,L1,L2,Linf,power_mse,clean_accuracy,AD,RAD,asr_unconditional,time,n_samples
resnet18,APGD,0.0,0.0,0.0,0.0,50082.811983471074,2930.793671410931,8.551376205830534,0.03137257695198059,0.00048620271846923347,0.968,0.968,1.0,1.0,63.9140419960022,484
resnet18,APGDT,0.0,0.0,0.0,0.0,50149.53099173554,2789.778167976821,8.13520687572227,0.03137257695198059,0.00044024036024660566,0.968,0.968,1.0,1.0,72.44693374633789,484
resnet18,BIM,0.0,0.0,0.0,0.0,49273.05371900826,2706.752534724464,8.262327920306813,0.03137257695198059,0.00045395967146970545,0.968,0.968,1.0,1.0,46.97388768196106,484
resnet18,CW,0.0,0.0,0.0,0.0,49153.30371900826,371.6024273643809,1.3028990977312909,0.02638249096175856,1.1727996465185791e-05,0.968,0.968,1.0,1.0,118.76152610778809,484
resnet18,DeepFool,0.004132231404958678,0.005971479500891266,0.004145299145299146,0.004884586746090842,50048.89049586777,215.74787841207726,0.836558386604571,0.02893178372389891,6.147184949581728e-06,0.968,0.9638677685950413,0.9957311659039684,0.9958677685950413,111.15459847450256,484
resnet18,DIFGSM,0.0,0.0,0.0,0.0,49363.24586776859,2658.5564822362476,8.144636115751975,0.03137257695198059,0.00044097264605422296,0.968,0.968,1.0,1.0,47.23959136009216,484
resnet18,EADEN,0.004132231404958678,0.004426840633737186,0.004145299145299146,0.004257206208425721,10431.888429752065,51.4924016920003,1.0051663243096352,0.11316466592021349,8.131180571203371e-06,0.968,0.9638677685950413,0.9957311659039684,0.9958677685950413,748.6448721885681,484
resnet18,EADL1,0.0,0.0,0.0,0.0,9521.21694214876,44.6561354836526,1.0588201257700394,0.1336174504908402,8.619350346523028e-06,0.968,0.968,1.0,1.0,743.9648654460907,484
resnet18,EOTPGD,0.0,0.0,0.0,0.0,50068.646694214876,2875.70458076414,8.425722439427021,0.03137257695198059,0.00047193637712087007,0.968,0.968,1.0,1.0,82.05068445205688,484
resnet18,FAB,0.0,0.0,0.0,0.0,50109.811983471074,316.83774145280034,0.9285726438291864,0.0032520002323733876,7.315611907725065e-06,0.968,0.968,1.0,1.0,293.33355808258057,484
resnet18,FFGSM,0.23760330578512398,0.24954280707160134,0.24569537056337648,0.24027559654415634,49844.61157024794,3972.1021158517883,10.680648935727836,0.03137257695198059,0.0007581752026213087,0.968,0.730396694214876,0.7545420394781777,0.762396694214876,11.267274141311646,484
resnet18,FGSM,0.25413223140495866,0.25737048649291216,0.26164502909198234,0.2515250738905098,49860.646694214876,4596.011706643853,11.974003405610391,0.03137257695198059,0.0009532791004595077,0.968,0.7138677685950413,0.7374667030940509,0.7458677685950413,11.162384033203125,484
resnet18,GN,0.9648760330578512,0.9640692627732068,0.9667969633585166,0.9646357391798647,50048.20041322314,11215.703461954416,36.68762432051099,0.45190874591839214,0.008957265679963118,0.968,0.0031239669421487815,0.0032272385765999808,0.03512396694214881,7.244955539703369,484
resnet18,Jitter,0.10330578512396695,0.10625401918308096,0.10635855348448484,0.10193728017947885,50092.43388429752,2610.972649692504,7.779084378037571,0.03137257695198059,0.0004021467999141463,0.968,0.864694214876033,0.8932791475992077,0.8966942148760331,59.187950134277344,484
resnet18,MIFGSM,0.0,0.0,0.0,0.0,49886.67148760331,3794.2683438387785,10.541390718507373,0.03137257695198059,0.0007385768884819863,0.968,0.968,1.0,1.0,45.69713020324707,484
resnet18,NIFGSM,0.0,0.0,0.0,0.0,49904.04958677686,3883.6311045244706,10.698541465869619,0.03137257695198059,0.0007607886555204399,0.968,0.968,1.0,1.0,45.945789098739624,484
resnet18,PGD,0.0,0.0,0.0,0.0,50068.57024793389,2874.9710370528796,8.423689138790794,0.03137257695198059,0.0004717044112337984,0.968,0.968,1.0,1.0,45.13894510269165,484
resnet18,PGDL2,0.17148760330578516,0.1996563793099403,0.1776082681322496,0.17458751893710175,50048.83884297521,267.11723277194443,0.9998220258261546,0.03323473511186759,6.640933558012252e-06,0.968,0.7965123966942148,0.8228433850146848,0.8285123966942148,46.47757339477539,484
resnet18,PGDRS,0.0,0.0,0.0,0.0,49324.99173553719,3023.677469553041,8.858070654317368,0.03137257695198059,0.0005229071861066594,0.968,0.968,1.0,1.0,92.86686730384827,484
resnet18,PGDRSL2,0.609504132231405,0.6099822611996107,0.601444547472597,0.5995111155872468,49537.175619834714,234.2166851768809,0.9999362780781816,0.04601520616638143,6.642460160841708e-06,0.968,0.358495867768595,0.3703469708353254,0.390495867768595,74.11058974266052,484
resnet18,RFGSM,0.0,0.0,0.0,0.0,50060.5,2829.8219629713326,8.230884962830661,0.03137257695198059,0.0004504441816050921,0.968,0.968,1.0,1.0,45.41721963882446,484
resnet18,SINIFGSM,0.006198347107438017,0.009094058548415034,0.006572104018912529,0.006553493880773786,49901.45041322314,3924.641073936273,10.77763854373585,0.03137257695198059,0.0007721028213239128,0.968,0.9618016528925619,0.9935967488559524,0.993801652892562,207.93024849891663,484
resnet18,SPSA,0.7479338842975206,0.7450088151533937,0.7380869373061788,0.738570972882452,50160.574380165286,3366.043691587842,9.537990103083208,0.03137257695198059,0.0006046289532259684,0.968,0.22006611570247936,0.2273410286182638,0.2520661157024794,197.08234810829163,484
resnet18,TIFGSM,0.008264462809917356,0.009593116979749223,0.008711983110011135,0.008937134502923976,49783.05991735537,2942.7000717289193,8.778260525593089,0.03137257695198059,0.000512453960976371,0.968,0.9597355371900826,0.9914623318079366,0.9917355371900827,47.33976435661316,484
resnet18,TPGD,0.47520661157024796,0.48989027153059633,0.4757048964964879,0.47450051831343487,50060.67355371901,2699.3225586946346,8.18753989668917,0.03137257695198059,0.0004457933816809615,0.968,0.492793388429752,0.5090840789563554,0.524793388429752,47.65525937080383,484
resnet18,UPGD,0.0,0.0,0.0,0.0,49885.76239669421,3794.1801818343233,10.54133653443707,0.03137257695198059,0.0007385677534871357,0.968,0.968,1.0,1.0,46.472617864608765,484
resnet18,VMIFGSM,0.0,0.0,0.0,0.0,49904.181818181816,3881.202715913126,10.698775837244082,0.03137257695198059,0.0007608399138601174,0.968,0.968,1.0,1.0,248.68289613723755,484
resnet18,VNIFGSM,0.0,0.0,0.0,0.0,49918.235537190085,3965.2846689775956,10.846863654034197,0.03137257695198059,0.0007821332279896779,0.968,0.968,1.0,1.0,250.0124261379242,484
resnet18,OnePixel,0.993801652892562,0.9943173150266971,0.994399460188934,0.9942696445494468,1.0,1.2661457382573569,0.8118386857888915,0.6355140618672056,4.809696546080703e-06,0.968,0.0,0.0,0.006198347107438051,55.13536787033081,484
resnet18,Pixle,0.8119834710743803,0.8097573912488766,0.8009184242126107,0.8013140889890993,642.448347107438,516.6864005356781,14.844265708746004,0.8910792476135837,0.00162665210401496,0.968,0.15601652892561968,0.1611741001297724,0.1880165289256197,734.9718699455261,484
resnet18,Square,0.4214876033057851,0.43670044926049706,0.42098914217231953,0.42329293378827304,28944.894628099173,2665.3864302201705,6.93732449634016,0.018149424682963978,0.0005530455123973733,0.968,0.5465123966942149,0.5645789222047675,0.578512396694215,1803.9886045455933,484
