model_name,attack_name,acc,prec,rec,f1,L0_pixels,L1,L2,Linf,power_mse,clean_accuracy,AD,RAD,asr_unconditional,time,n_samples
inception_v3,APGD,0.0,0.0,0.0,0.0,50136.35,2783.249112447103,8.164991631110508,0.03137257695198059,0.0004432206599328007,0.96,0.96,1.0,1.0,254.10389065742493,480
inception_v3,APGDT,0.0,0.0,0.0,0.0,50158.92083333333,2781.941028849284,8.12425953745842,0.03137257695198059,0.0004392610971990507,0.96,0.96,1.0,1.0,271.66598892211914,480
inception_v3,BIM,0.0,0.0,0.0,0.0,48012.2375,2413.1256576538085,7.63137759466966,0.03137257695198059,0.00038706144253713624,0.96,0.96,1.0,1.0,212.73243689537048,480
inception_v3,CW,0.0,0.0,0.0,0.0,48754.075,386.82857789993284,1.3694739232460658,0.02616743240505457,1.297172300572432e-05,0.96,0.96,1.0,1.0,489.2456614971161,480
inception_v3,DeepFool,0.0,0.0,0.0,0.0,48715.916666666664,193.31419153967872,0.7724862115053839,0.028103003240539694,5.1471680779412465e-06,0.96,0.96,1.0,1.0,577.602995634079,480
inception_v3,DIFGSM,0.004166666666666667,0.0034143518518518516,0.004627659574468085,0.0039032749428789034,49374.85208333333,2482.182627360026,7.7362040410439175,0.03137257695198059,0.00039777005228340084,0.96,0.9558333333333333,0.9956597222222222,0.9958333333333333,206.89420557022095,480
inception_v3,EADEN,0.0,0.0,0.0,0.0,11521.777083333332,46.334808836582425,0.9056793183122257,0.11236163060336063,6.686493425688492e-06,0.96,0.96,1.0,1.0,2466.761162996292,480
inception_v3,EADL1,0.004166666666666667,0.003851851851851852,0.004460784313725491,0.004107857594270065,9951.160416666668,39.907622232629606,0.93227802622132,0.12649168696564933,6.837357337885949e-06,0.96,0.9558333333333333,0.9956597222222222,0.9958333333333333,2945.004409313202,480
inception_v3,EOTPGD,0.0,0.0,0.0,0.0,50120.27916666667,2677.8213973999023,7.945090475678444,0.03137257695198059,0.00041949237468846454,0.96,0.96,1.0,1.0,407.80927562713623,480
inception_v3,FAB,0.02083333333333333,0.015125670651617356,0.022609026034095415,0.018047039199332777,47782.99166666667,259.231832791244,0.7864900031738216,0.003038773423516735,5.376970804388757e-06,0.96,0.9391666666666666,0.978298611111111,0.9791666666666666,1171.1056334972382,480
inception_v3,FFGSM,0.5375,0.5512097240832794,0.5364399830910415,0.5324158048813477,49934.333333333336,3928.675448099772,10.600023676951727,0.03137257695198059,0.0007467699072246129,0.96,0.4225,0.4401041666666667,0.4625,38.61361885070801,480
inception_v3,FGSM,0.58125,0.5952664744663727,0.5790256517710944,0.5754078310840599,48534.79791666667,4469.323904418945,11.807377151648204,0.03137257695198059,0.0009269908145749166,0.96,0.3787499999999999,0.39453124999999994,0.41874999999999996,38.50291061401367,480
inception_v3,GN,0.9625,0.9590794445901697,0.9625011791277774,0.9600544631593223,50047.83541666667,11211.98306681315,36.68003229300181,0.4507747531558077,0.008953552456417432,0.96,0.0,0.0,0.03749999999999998,21.291572332382202,480
inception_v3,Jitter,0.175,0.210457831978225,0.18042209500064427,0.1797259857887134,50123.464583333334,2593.0280853271483,7.74124791721503,0.03137257692093651,0.0003982299678076136,0.96,0.7849999999999999,0.8177083333333333,0.825,220.81970834732056,480
inception_v3,MIFGSM,0.0,0.0,0.0,0.0,48639.51666666667,3724.8420399983725,10.454284729560216,0.03137257695198059,0.000726476262207143,0.96,0.96,1.0,1.0,207.44399404525757,480
inception_v3,NIFGSM,0.016666666666666666,0.013116883116883115,0.018323311748381126,0.015194072663504938,48649.06875,3761.712921142578,10.517781919240951,0.03137257695198059,0.0007353061411170832,0.96,0.9433333333333332,0.9826388888888888,0.9833333333333333,206.1288239955902,480
inception_v3,PGD,0.0,0.0,0.0,0.0,50120.64166666667,2679.346820068359,7.948887244860331,0.03137257695198059,0.0004198941913273302,0.96,0.96,1.0,1.0,206.0721571445465,480
inception_v3,PGDL2,0.13541666666666666,0.14244585107583324,0.14229168106566487,0.1310627325246318,50103.347916666666,269.1789957046509,0.9990202790747086,0.03242851737886667,6.630667450243285e-06,0.96,0.8245833333333333,0.8589409722222222,0.8645833333333334,207.43032813072205,480
inception_v3,PGDRS,0.0,0.0,0.0,0.0,48063.36041666667,2826.1248438517255,8.491467516620954,0.03137257695198059,0.00047976927835406967,0.96,0.96,1.0,1.0,395.3526785373688,480
inception_v3,PGDRSL2,0.6625,0.6653142681930712,0.6575822997267194,0.6543654920016457,48235.55416666667,227.0231812477112,0.9998830950508515,0.04720663589347775,6.641759474253679e-06,0.96,0.2975,0.3098958333333333,0.3375,304.58876299858093,480
inception_v3,RFGSM,0.0,0.0,0.0,0.0,50114.79375,2587.8270370483397,7.634649989008904,0.03137257692093651,0.00038736633371930413,0.96,0.96,1.0,1.0,205.7909653186798,480
inception_v3,SINIFGSM,0.14583333333333334,0.25548124617435636,0.1526160944404673,0.16636802355414043,48665.9875,3789.4525385538736,10.571239630381266,0.03137257695198059,0.0007428106702718651,0.96,0.8141666666666666,0.8480902777777777,0.8541666666666666,966.2413432598114,480
inception_v3,SPSA,0.725,0.7234185701322844,0.7194298014386985,0.7181160643612778,50160.54375,3366.3169306437176,9.53812906940778,0.03137257695198059,0.000604682381163002,0.96,0.235,0.24479166666666666,0.275,517.442298412323,480
inception_v3,TIFGSM,0.025,0.027696912438015017,0.026507698546578667,0.025408366141507977,49606.3,2641.8913803100586,8.108155315121016,0.03137257695198059,0.0004370500152920916,0.96,0.9349999999999999,0.9739583333333333,0.975,210.3834044933319,480
inception_v3,TPGD,0.5,0.5200172369495071,0.49630071068037007,0.49870709334330776,50116.57708333333,2412.4405370076497,7.555421497424444,0.03137257692093651,0.0003794061888887275,0.96,0.45999999999999996,0.47916666666666663,0.5,216.26381516456604,480
