model_name,attack_name,acc,prec,rec,f1,l0_pixels,l1,l2,linf,power_mse,clean_accuracy,accuracy_drop,relative_accuracy_drop,asr_unconditional,asr_conditional,time,n_samples
densenet121,SPSA,5.161943319838056,6.958358907318004,5.259946929672068,5.682085182368881,0,0,0,0,0,98.8,98.74838056680161,0.9994775361012309,0.9483805668016194,,4545.1798593997955,988
densenet121,EADEN,0.6072874493927125,0.4660536624194047,0.5873682589152605,0.5048227457757091,0,0,0,0,0,98.8,98.79392712550607,0.9999385336589683,0.9939271255060729,,15756.875470161438,988
densenet121,EADL1,1.417004048582996,1.5325583954186803,1.4121199458508582,1.4199768317457677,0,0,0,0,0,98.8,98.78582995951416,0.9998565785375927,0.9858299595141701,,15711.439403057098,988
