model_name,class_name,accuracy,precision,recall,f1,samples
inception_v3_progressive_adv,English springer,0.9443037974683545,1.0,0.9443037974683545,0.9713541666666666,395
inception_v3_progressive_adv,tench,0.9302325581395349,1.0,0.9302325581395349,0.963855421686747,387
inception_v3_progressive_adv,parachute,0.9076923076923077,1.0,0.9076923076923077,0.9516129032258065,390
inception_v3_progressive_adv,church,0.902200488997555,1.0,0.902200488997555,0.9485861182519281,409
inception_v3_progressive_adv,golf ball,0.899749373433584,1.0,0.899749373433584,0.9472295514511874,399
inception_v3_progressive_adv,garbage truck,0.8894601542416453,1.0,0.8894601542416453,0.9414965986394558,389
inception_v3_progressive_adv,cassette player,0.8823529411764706,1.0,0.8823529411764706,0.9375,357
inception_v3_progressive_adv,French horn,0.868020304568528,1.0,0.868020304568528,0.9293478260869565,394
inception_v3_progressive_adv,gas pump,0.8591885441527446,1.0,0.8591885441527446,0.9242618741976892,419
inception_v3_progressive_adv,chain saw,0.689119170984456,1.0,0.689119170984456,0.8159509202453987,386
