model_name,class_name,accuracy,precision,recall,f1,samples
resnet18_progressive_adv,English springer,0.9240506291389465,0.8508158326148987,0.9240506291389465,0.8859223127365112,395
resnet18_progressive_adv,tench,0.9018087983131409,0.8596059083938599,0.9018087983131409,0.8802017569541931,387
resnet18_progressive_adv,church,0.8973104953765869,0.8973104953765869,0.8973104953765869,0.8973104953765869,409
resnet18_progressive_adv,golf ball,0.8746867179870605,0.9041450619697571,0.8746867179870605,0.8891719579696655,399
resnet18_progressive_adv,cassette player,0.8655462265014648,0.7923076748847961,0.8655462265014648,0.827309250831604,357
resnet18_progressive_adv,parachute,0.8641025424003601,0.8915343880653381,0.8641025424003601,0.8776041865348816,390
resnet18_progressive_adv,garbage truck,0.8508997559547424,0.8687664270401001,0.8508997559547424,0.8597402572631836,389
resnet18_progressive_adv,French horn,0.8248730897903442,0.8376288414001465,0.8248730897903442,0.8312020301818848,394
resnet18_progressive_adv,gas pump,0.7899761199951172,0.8172839283943176,0.7899761199951172,0.803398072719574,419
resnet18_progressive_adv,chain saw,0.6865285038948059,0.7507082223892212,0.6865285038948059,0.717185378074646,386
