model_name,class_name,accuracy,precision,recall,f1,samples
densenet121_progressive_adv,French horn,0.9670050761421319,1.0,0.9670050761421319,0.9832258064516128,394
densenet121_progressive_adv,English springer,0.9493670886075949,1.0,0.9493670886075949,0.974025974025974,395
densenet121_progressive_adv,tench,0.9405684754521964,1.0,0.9405684754521964,0.9693741677762983,387
densenet121_progressive_adv,church,0.9364303178484108,1.0,0.9364303178484108,0.9671717171717172,409
densenet121_progressive_adv,golf ball,0.9273182957393483,1.0,0.9273182957393483,0.9622886866059818,399
densenet121_progressive_adv,garbage truck,0.9177377892030848,1.0,0.9177377892030848,0.9571045576407506,389
densenet121_progressive_adv,parachute,0.9128205128205128,1.0,0.9128205128205128,0.9544235924932977,390
densenet121_progressive_adv,cassette player,0.8907563025210085,1.0,0.8907563025210085,0.9422222222222223,357
densenet121_progressive_adv,gas pump,0.8591885441527446,1.0,0.8591885441527446,0.9242618741976892,419
densenet121_progressive_adv,chain saw,0.7927461139896373,1.0,0.7927461139896373,0.884393063583815,386
