model_name,class_name,accuracy,precision,recall,f1,samples
efficientnet_b0_progressive_adv,English springer,0.9620253443717957,0.9313725233078003,0.9620253443717957,0.9464508295059204,395
efficientnet_b0_progressive_adv,tench,0.9483203887939453,0.9632545709609985,0.9483203887939453,0.9557291865348816,387
efficientnet_b0_progressive_adv,parachute,0.9435897469520569,0.8953770995140076,0.9435897469520569,0.9188514351844788,390
efficientnet_b0_progressive_adv,garbage truck,0.9280205368995667,0.9256410002708435,0.9280205368995667,0.9268292784690857,389
efficientnet_b0_progressive_adv,church,0.92665034532547,0.9474999904632568,0.92665034532547,0.9369592070579529,409
efficientnet_b0_progressive_adv,cassette player,0.924369752407074,0.9116021990776062,0.924369752407074,0.9179415702819824,357
efficientnet_b0_progressive_adv,golf ball,0.9172932505607605,0.953125,0.9172932505607605,0.9348658919334412,399
efficientnet_b0_progressive_adv,French horn,0.9086294174194336,0.9521276354789734,0.9086294174194336,0.9298701286315918,394
efficientnet_b0_progressive_adv,gas pump,0.8902148008346558,0.8966346383094788,0.8902148008346558,0.8934131860733032,419
efficientnet_b0_progressive_adv,chain saw,0.8808290362358093,0.8564231991767883,0.8808290362358093,0.86845463514328,386
