model_name,class_name,accuracy,precision,recall,f1,samples
swin_t_progressive_adv,tench,0.9328165650367737,0.942558765411377,0.9328165650367737,0.9376623630523682,387
swin_t_progressive_adv,church,0.9242053627967834,0.8999999761581421,0.9242053627967834,0.9119421243667603,409
swin_t_progressive_adv,cassette player,0.9159663915634155,0.7822966575622559,0.9159663915634155,0.843870997428894,357
swin_t_progressive_adv,English springer,0.9139240384101868,0.945026159286499,0.9139240384101868,0.9292149543762207,395
swin_t_progressive_adv,parachute,0.8974359035491943,0.9090909361839294,0.8974359035491943,0.9032257795333862,390
swin_t_progressive_adv,golf ball,0.897243082523346,0.9086294174194336,0.897243082523346,0.9029003977775574,399
swin_t_progressive_adv,French horn,0.8857868313789368,0.8835443258285522,0.8857868313789368,0.8846641182899475,394
swin_t_progressive_adv,garbage truck,0.8611825108528137,0.9203296899795532,0.8611825108528137,0.8897742629051208,389
swin_t_progressive_adv,gas pump,0.801909327507019,0.8549618124961853,0.801909327507019,0.8275862336158752,419
swin_t_progressive_adv,chain saw,0.7979274392127991,0.7877237796783447,0.7979274392127991,0.792792797088623,386
