model_name,class_name,accuracy,precision,recall,f1,samples
mobilenet_v2_progressive_adv,tench,0.9612403100775194,1.0,0.9612403100775194,0.9802371541501977,387
mobilenet_v2_progressive_adv,cassette player,0.9551820728291317,1.0,0.9551820728291317,0.9770773638968481,357
mobilenet_v2_progressive_adv,English springer,0.9544303797468354,1.0,0.9544303797468354,0.9766839378238342,395
mobilenet_v2_progressive_adv,church,0.9486552567237164,1.0,0.9486552567237164,0.973651191969887,409
mobilenet_v2_progressive_adv,golf ball,0.9423558897243107,1.0,0.9423558897243107,0.9703225806451613,399
mobilenet_v2_progressive_adv,garbage truck,0.9408740359897172,1.0,0.9408740359897172,0.9695364238410595,389
mobilenet_v2_progressive_adv,parachute,0.9358974358974359,1.0,0.9358974358974359,0.9668874172185431,390
mobilenet_v2_progressive_adv,French horn,0.9035532994923858,1.0,0.9035532994923858,0.9493333333333334,394
mobilenet_v2_progressive_adv,gas pump,0.8782816229116945,1.0,0.8782816229116945,0.9351969504447268,419
mobilenet_v2_progressive_adv,chain saw,0.8730569948186528,1.0,0.8730569948186528,0.9322268326417704,386
