model_name,attack_name,acc,prec,rec,f1,l0_pixels,l1,l2,linf,power_mse,clean_accuracy,accuracy_drop,relative_accuracy_drop,asr_unconditional,asr_conditional,time,n_samples
resnet18,APGD,0.0,0.0,0.0,0.0,50099.774327122155,2889.837235034129,8.466820243969714,0.03137257695198059,0.0004766435556665186,0.966,0.966,1.0,1.0,,25.05327820777893,483
resnet18,APGDT,0.0,0.0,0.0,0.0,50153.58592132505,2786.6227617915374,8.134317913410827,0.03137257695198059,0.00044097676606873903,0.966,0.966,1.0,1.0,,29.34035897254944,483
resnet18,BIM,0.0,0.0,0.0,0.0,49200.47826086957,2591.0143406080165,8.005305911196437,0.03137257695198059,0.00042612382407708954,0.966,0.966,1.0,1.0,,18.83763360977173,483
resnet18,CW,0.0,0.0,0.0,0.0,49151.308488612834,362.2688982787833,1.256470495622844,0.02313833268779652,1.1056906553894957e-05,0.966,0.966,1.0,1.0,,40.89729142189026,483
resnet18,DeepFool,57.55693581780539,60.23189564482879,57.630047258469794,56.904629640145,50055.81366459627,134.54766827241727,0.5189072961435031,0.01813541052913135,2.4148904013371295e-06,0.966,0.3904306418219461,0.404172507062056,0.4244306418219461,,136.65872716903687,483
resnet18,DIFGSM,0.0,0.0,0.0,0.0,49299.56935817805,2564.253555961277,7.933891121645152,0.03137257695198059,0.00041842112507127363,0.966,0.966,1.0,1.0,,18.06831169128418,483
resnet18,EADEN,0.2070393374741201,0.22727272727272727,0.21739130434782608,0.22222222222222218,15440.670807453416,39.60311632601864,0.6734319098108674,0.07767347211700788,3.822574813981439e-06,0.966,0.9639296066252587,0.9978567356369138,0.9979296066252588,,461.3514049053192,483
resnet18,EADL1,1.0351966873706004,0.9175795010374946,0.9591144149967679,0.9160443780669939,13184.679089026915,24.13795124441694,0.7594862137506591,0.11665029274627535,4.5268615068215785e-06,0.966,0.955648033126294,0.9892836781845694,0.989648033126294,,447.7232298851013,483
resnet18,EOTPGD,0.0,0.0,0.0,0.0,50088.85300207039,2792.6094199865747,8.22742683991142,0.031372576921129325,0.0004499605935771697,0.966,0.966,1.0,1.0,,29.302577257156372,483
resnet18,FAB,1.8633540372670807,2.442076667613987,1.8027765436210774,1.9219198247235634,49185.65010351967,199.03719071374422,0.5795256874136487,0.001972911553312764,2.980248590035398e-06,0.966,0.9473664596273291,0.9807106207322248,0.9813664596273292,,110.84402656555176,483
resnet18,FFGSM,20.082815734989648,22.398738374029072,19.659463929824188,19.625180197966323,49847.217391304344,3973.155600980202,10.68295190941473,0.03137257695198059,0.0007585026453949095,0.966,0.7651718426501035,0.7921033567806455,0.7991718426501035,,6.361097097396851,483
resnet18,FGSM,27.12215320910973,28.388781313148883,26.72774501274414,26.16104627277549,49859.525879917186,4596.012584109731,11.973959478532306,0.03137257695198059,0.0009532699997268818,0.966,0.6947784679089026,0.719232368435717,0.7287784679089027,,6.283870220184326,483
resnet18,GN,95.23809523809523,94.91867627515332,95.070495421929,94.87427296733195,50048.308488612834,11215.422249045678,36.688659241480856,0.45037031605623773,0.008957884312023103,0.966,0.013619047619047753,0.014098392980380696,0.04761904761904778,,4.966806173324585,483
resnet18,Jitter,10.973084886128365,11.778879743627773,10.939573301583023,10.84963796152957,50095.50310559006,2582.8698139072203,7.717983676286464,0.03137257695198059,0.0003958141581130293,0.966,0.8562691511387164,0.8864069887564352,0.8902691511387164,,21.873409509658813,483
