model_name,attack_name,acc,prec,rec,f1,l0_pixels,l1,l2,linf,power_mse,clean_accuracy,accuracy_drop,relative_accuracy_drop,asr_unconditional,asr_conditional,time,n_samples
densenet121,APGD,0.40404040404040403,0.6451612903225806,0.4,0.49382716049382713,49936.767676767675,2783.846129261364,8.17117460327919,0.03124581906530592,0.0004456577303400734,0.99,0.9859595959595959,0.9959187837975717,0.9959595959595959,,104.87377166748047,495
densenet121,APGDT,0.0,0.0,0.0,0.0,50161.4101010101,2756.8155830768624,8.068783513464108,0.03137257695198059,0.0004331730574256543,0.99,0.99,1.0,1.0,,105.12912201881409,495
densenet121,BIM,0.0,0.0,0.0,0.0,49150.51717171717,2447.6051363241795,7.669442337691182,0.03137257695198059,0.00039095243343829434,0.99,0.99,1.0,1.0,,89.24855256080627,495
densenet121,CW,1.4141414141414141,2.2872801524745268,1.5450337493628619,1.6674113120921632,48461.67878787879,438.17348047121607,1.4949473627287932,0.02386249830626478,1.621129832446141e-05,0.99,0.9758585858585859,0.9857157432915009,0.9858585858585859,,257.54328441619873,495
densenet121,DeepFool,76.76767676767676,78.07639362166715,76.4149568311437,76.1340471357731,50041.159595959594,105.902416464137,0.40176952697993423,0.013964579871507607,1.4821815724282614e-06,0.99,0.22232323232323237,0.22456892153861854,0.23232323232323238,,1180.6380531787872,495
densenet121,DIFGSM,0.0,0.0,0.0,0.0,49252.23434343434,2463.9691850142044,7.701760889303805,0.03137257695198059,0.0003942332463926927,0.99,0.99,1.0,1.0,,89.79378008842468,495
densenet121,EADEN,0.6060606060606061,0.736206896551724,0.6830362277170788,0.630718954248366,36634.91717171717,28.44917128775457,0.6341018148577969,0.09752113989394422,3.126151386012205e-06,0.99,0.9839393939393939,0.9938781756963575,0.9939393939393939,,2346.7443640232086,495
densenet121,EADL1,1.0101010101010102,1.0583315245681582,1.0807485677684103,1.0042057201630168,36238.84242424242,20.465934551876,0.6556423244435773,0.10541279358093185,3.3791017298597298e-06,0.99,0.9798989898989899,0.9897969594939292,0.98989898989899,,2311.7974622249603,495
densenet121,EOTPGD,0.0,0.0,0.0,0.0,50115.92727272727,2680.2699055989583,7.952560913201534,0.03137257695198059,0.00042029747167940845,0.99,0.99,1.0,1.0,,164.14262771606445,495
densenet121,FAB,6.4646464646464645,8.34057746898003,6.638841743197791,7.095262599774099,46906.16565656566,143.78054328169486,0.4241208493526122,0.0015345312128163347,1.7341196450567741e-06,0.99,0.9253535353535354,0.9347005407611468,0.9353535353535354,,554.644275188446,495
densenet121,FFGSM,40.80808080808081,43.53755762839575,40.85570321621185,41.48336585510813,49919.64848484848,3976.8240767045454,10.691660620949484,0.03137257695198059,0.0007597458291319057,0.99,0.581919191919192,0.5877971635547393,0.591919191919192,,18.469714164733887,495
densenet121,FGSM,61.41414141414141,63.797314617313994,60.88732280679883,61.49907124953798,49995.19797979798,4594.323546500158,11.971499184887819,0.03137257695198059,0.000952887053559111,0.99,0.3758585858585859,0.37965513723089483,0.3858585858585859,,18.201594352722168,495
densenet121,GN,89.4949494949495,90.48849106347143,89.46783310637736,89.28848752354271,50045.52121212121,11210.486286695075,36.679693175807145,0.4479696756059473,0.00895346412529247,0.99,0.09505050505050505,0.09601061116212632,0.10505050505050506,,10.089872121810913,495
densenet121,Jitter,8.484848484848486,11.235181390440193,8.583268173418778,9.426793178744203,50113.81414141414,2591.063092349274,7.736748635648477,0.03137257695198059,0.0003977417894121673,0.99,0.9051515151515152,0.9142944597490053,0.9151515151515152,,92.62294101715088,495
densenet121,MIFGSM,0.0,0.0,0.0,0.0,49932.6,3795.6238493331757,10.537514441904396,0.03137257695198059,0.0007381077675910836,0.99,0.99,1.0,1.0,,88.96013236045837,495
densenet121,NIFGSM,0.0,0.0,0.0,0.0,49938.624242424245,3869.027829565183,10.670658758914833,0.03137257695198059,0.0007569023883064287,0.99,0.99,1.0,1.0,,88.23362684249878,495
densenet121,OnePixel,99.5959595959596,99.57671957671957,99.51233842538188,99.53918371710395,1.0,1.1293689262987388,0.735482431481583,0.5883582388812846,4.017843151713249e-06,0.99,0.0,0.0,0.004040404040404066,,277.15852451324463,495
densenet121,PGD,0.0,0.0,0.0,0.0,50115.79595959596,2680.5082420888575,7.95319685791478,0.03137257695198059,0.00042036543506188226,0.99,0.99,1.0,1.0,,87.28228712081909,495
densenet121,PGDL2,24.242424242424242,24.549857872410477,23.532332021424722,23.507344904423114,50129.40404040404,250.55686368075285,0.8717024604441843,0.023489307484241446,5.4182066170188e-06,0.99,0.7475757575757576,0.7551270278543005,0.7575757575757576,,88.38108086585999,495
densenet121,PGDRS,0.0,0.0,0.0,0.0,49239.92727272727,2824.9614516749525,8.384288151095612,0.03137257695198059,0.0004686173466104788,0.99,0.99,1.0,1.0,,319.4424934387207,495
densenet121,PGDRSL2,77.37373737373737,78.72413315690154,76.40649934703984,77.15649288985368,48215.868686868685,231.13036824232657,0.9397445698328627,0.04233484729522406,6.229455629036629e-06,0.99,0.21626262626262627,0.21844709723497602,0.22626262626262628,,324.5387625694275,495
densenet121,RFGSM,0.0,0.0,0.0,0.0,50111.50101010101,2607.883285491635,7.675720893012153,0.03137257695198059,0.00039157234949548965,0.99,0.99,1.0,1.0,,87.87742328643799,495
densenet121,SINIFGSM,0.20202020202020202,0.7142857142857143,0.2,0.3125,49934.95353535353,3883.2940424755366,10.69790552505339,0.03137257695198059,0.0007607434772782856,0.99,0.987979797979798,0.9979593918987858,0.997979797979798,,400.5710380077362,495
densenet121,SPSA,6.262626262626263,7.901529529468834,6.159917442890726,6.673272314591569,50168.90505050505,8474.526954111427,27.356945727569887,0.29018321410574094,0.004981197028731306,0.99,0.9273737373737374,0.936741148862361,0.9373737373737374,,1108.6144425868988,495
densenet121,TIFGSM,0.20202020202020202,0.29411764705882354,0.2127659574468085,0.24691358024691362,49553.076767676765,2602.694920888573,8.025627319258874,0.03137257695198059,0.0004282582106746056,0.99,0.987979797979798,0.9979593918987858,0.997979797979798,,90.77966833114624,495
densenet121,TPGD,21.616161616161616,22.317054318653444,21.368533413580863,21.02252989468971,50112.20606060606,2459.973084359217,7.627446922148117,0.03137257695198059,0.00038667180836482934,0.99,0.7738383838383838,0.7816549331700846,0.7838383838383838,,94.32019186019897,495
densenet121,UPGD,0.0,0.0,0.0,0.0,49932.41414141414,3795.911597912721,10.537945286914555,0.03137257695198059,0.0007381691713817418,0.99,0.99,1.0,1.0,,91.82036590576172,495
densenet121,VMIFGSM,0.0,0.0,0.0,0.0,49985.83434343434,3896.706882299558,10.716129825091121,0.03137257695198059,0.0007634131609452795,0.99,0.99,1.0,1.0,,474.2109444141388,495
densenet121,VNIFGSM,0.0,0.0,0.0,0.0,49980.236363636366,3929.9891517716223,10.775204070890792,0.03137257695198059,0.0007719029811201523,0.99,0.99,1.0,1.0,,476.3210699558258,495
densenet121,Pixle,71.71717171717171,72.93255448067045,71.265593678104,71.41218869262877,633.0646464646464,512.7701319121351,14.798839334044793,0.8907664943825114,0.001610874082750958,0.99,0.27282828282828286,0.2755841240689726,0.2828282828282829,,4269.116408824921,495
densenet121,Square,4.242424242424243,5.759067397244435,4.454928455526768,4.746623411798082,47939.854545454546,4400.887030460859,11.465745282413984,0.030041619141896566,0.0009127969436131117,0.99,0.9475757575757575,0.9571472298745025,0.9575757575757575,,7269.377156496048,495
