source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
densenet121_adv_preattacked_20260415,densenet121_advanced,GN,251,251,100,0.398406374501992,1.0,2026-04-18 19:50:07
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,GN,251,251,111,0.44223107569721115,1.0,2026-04-18 19:50:17
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,GN,251,251,225,0.896414342629482,1.0,2026-04-18 19:50:26
densenet121_adv_preattacked_20260415,vgg16_advanced,GN,251,251,109,0.4342629482071713,1.0,2026-04-18 19:50:38
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,Jitter,500,500,15,0.03,1.0,2026-04-18 20:11:37
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,Jitter,500,500,18,0.036,1.0,2026-04-18 20:11:45
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,Jitter,500,500,35,0.07,1.0,2026-04-18 20:12:07
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,Jitter,500,500,35,0.07,1.0,2026-04-18 20:12:19
densenet121_adv_preattacked_20260415,resnet18_advanced,Jitter,500,500,34,0.068,1.0,2026-04-18 20:12:29
densenet121_adv_preattacked_20260415,densenet121_advanced,Jitter,500,500,312,0.624,1.0,2026-04-18 20:12:45
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,Jitter,500,500,15,0.03,1.0,2026-04-18 20:13:02
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,Jitter,500,500,14,0.028,1.0,2026-04-18 20:13:20
densenet121_adv_preattacked_20260415,vgg16_advanced,Jitter,500,500,34,0.068,1.0,2026-04-18 20:13:40
densenet121_adv_preattacked_20260415,efficientnet_b0_adv_preattacked_20260415,MIFGSM,500,500,42,0.084,1.0,2026-04-18 20:19:40
densenet121_adv_preattacked_20260415,mobilenet_v2_adv_preattacked_20260415,MIFGSM,500,500,45,0.09,1.0,2026-04-18 20:19:57
densenet121_adv_preattacked_20260415,resnet18_adv_preattacked_20260415,MIFGSM,500,500,74,0.148,1.0,2026-04-18 20:20:16
densenet121_adv_preattacked_20260415,vgg16_adv_preattacked_20260415,MIFGSM,500,500,71,0.142,1.0,2026-04-18 20:20:39
densenet121_adv_preattacked_20260415,resnet18_advanced,MIFGSM,500,500,82,0.164,1.0,2026-04-18 20:20:53
densenet121_adv_preattacked_20260415,densenet121_advanced,MIFGSM,500,500,487,0.974,1.0,2026-04-18 20:21:07
densenet121_adv_preattacked_20260415,mobilenet_v2_advanced,MIFGSM,500,500,60,0.12,1.0,2026-04-18 20:21:25
densenet121_adv_preattacked_20260415,efficientnet_b0_advanced,MIFGSM,500,500,44,0.088,1.0,2026-04-18 20:21:43
